acquisition_function,ml_bounds,ml_target,consider_only_true_max,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
ei,None,None,False,154.332,59.107,154.332,59.107,100.0,417.73
ei,None,indicator,False,166.767,37.529,166.767,37.529,100.0,423.383
ei,None,probability,False,169.29,33.353,169.29,33.353,100.0,472.456
ei,None,sum,False,168.114,51.193,168.114,51.193,100.0,452.318
ei,None,product,False,174.703,35.606,174.703,35.606,100.0,469.521
DiscreteBO,None,None,False,186.857,59.672,186.857,59.672,100.0,322.247
DiscreteBO,None,indicator,False,157.117,44.101,157.117,44.101,100.0,315.673
DiscreteBO,None,probability,False,168.192,46.524,168.192,46.524,100.0,140.803
DiscreteBO,None,sum,False,158.722,46.636,158.722,46.636,100.0,376.386
DiscreteBO,None,product,False,169.949,55.819,169.949,55.819,100.0,1652.264
