ml_bounds,ml_target,consider_only_True_max,error (%),error_cleaned (%),feasible_values_found (%)
indicator,None,True,inf,1.773397952,23.33333333
indicator,None,False,inf,1.845942678,90
indicator,indicator,True,inf,1.617917482,26.66666667
indicator,indicator,False,inf,5.920743086,96.66666667
indicator,probability,True,inf,1.773397952,23.33333333
indicator,probability,False,inf,1.594032719,80
indicator,sum,True,1.6136303582309424,1.613630358,100
indicator,sum,False,1.548146110940282,1.548146111,100
indicator,product,True,1.593731631425906,1.593731631,100
indicator,product,False,inf,1.845942678,90
probability,None,True,inf,1.617917482,26.66666667
probability,None,False,1.7803632886220022,1.780363289,100
probability,indicator,True,inf,1.773397952,23.33333333
probability,indicator,False,inf,6.53740434,76.66666667
probability,probability,True,inf,1.617917482,26.66666667
probability,probability,False,1.7803632886220022,1.780363289,100
probability,sum,True,1.8259488091076261,1.825948809,100
probability,sum,False,1.5830362904602298,1.58303629,100
probability,product,True,1.5600817519507078,1.560081752,100
probability,product,False,1.7803632886220022,1.780363289,100
