acquisition_function,ml_bounds,ml_target,consider_only_true_max,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
eic,indicator,None,True,inf,inf,1.538,0.004,26.667,7.747
eic,indicator,None,False,inf,inf,1.5,0.193,86.667,11.176
eic,indicator,indicator,True,inf,inf,1.608,0.169,23.333,8.17
eic,indicator,indicator,False,inf,inf,5.902,3.321,90.0,11.367
eic,indicator,probability,True,inf,inf,1.538,0.004,26.667,9.174
eic,indicator,probability,False,inf,inf,1.499,0.196,83.333,12.633
eic,indicator,sum,True,1.787,1.251,1.787,1.251,100.0,9.985
eic,indicator,sum,False,1.56,0.113,1.56,0.113,100.0,11.15
eic,indicator,product,True,1.78,1.299,1.78,1.299,100.0,10.095
eic,indicator,product,False,inf,inf,1.5,0.193,86.667,11.368
eic,probability,None,True,inf,inf,1.608,0.169,23.333,8.257
eic,probability,None,False,1.56,0.113,1.56,0.113,100.0,10.672
eic,probability,indicator,True,inf,inf,2.442,2.393,26.667,9.298
eic,probability,indicator,False,inf,inf,6.938,2.982,90.0,13.118
eic,probability,probability,True,inf,inf,1.608,0.169,23.333,9.663
eic,probability,probability,False,1.768,1.123,1.768,1.123,100.0,12.792
eic,probability,sum,True,1.771,1.251,1.771,1.251,100.0,11.059
eic,probability,sum,False,1.506,0.18,1.506,0.18,100.0,12.282
eic,probability,product,True,1.821,1.257,1.821,1.257,100.0,10.832
eic,probability,product,False,1.821,1.149,1.821,1.149,100.0,11.339
DiscreteBO,indicator,None,True,inf,inf,4.271,3.466,86.667,81.348
DiscreteBO,indicator,None,False,inf,inf,6.266,3.336,83.333,102.407
DiscreteBO,indicator,indicator,True,inf,inf,1.826,1.339,86.667,74.928
DiscreteBO,indicator,indicator,False,inf,inf,7.63,2.494,93.333,87.369
DiscreteBO,indicator,probability,True,inf,inf,4.25,3.439,86.667,82.547
DiscreteBO,indicator,probability,False,inf,inf,5.709,3.493,83.333,102.407
DiscreteBO,indicator,sum,True,2.252,2.086,2.252,2.086,100.0,108.464
DiscreteBO,indicator,sum,False,3.185,2.937,3.185,2.937,100.0,76.969
DiscreteBO,indicator,product,True,inf,inf,6.324,3.304,93.333,82.534
DiscreteBO,indicator,product,False,inf,inf,6.545,3.218,83.333,102.444
DiscreteBO,probability,None,True,inf,inf,3.637,3.169,23.333,57.812
DiscreteBO,probability,None,False,inf,inf,5.018,3.58,96.667,87.279
DiscreteBO,probability,indicator,True,inf,inf,1.538,0.004,26.667,72.342
DiscreteBO,probability,indicator,False,inf,inf,6.747,3.177,90.0,89.287
DiscreteBO,probability,probability,True,inf,inf,3.909,3.667,23.333,74.595
DiscreteBO,probability,probability,False,5.516,3.438,5.516,3.438,100.0,81.258
DiscreteBO,probability,sum,True,1.771,1.251,1.771,1.251,100.0,95.714
DiscreteBO,probability,sum,False,1.506,0.18,1.506,0.18,100.0,102.366
DiscreteBO,probability,product,True,3.32,3.236,3.32,3.236,100.0,92.303
DiscreteBO,probability,product,False,inf,inf,6.003,3.537,60.0,74.807
