ml_bounds,ml_target,consider_only_True_max,error (%),error_cleaned (%),feasible_values_found (%)
indicator,None,True,16.14223638,16.14223638,100
indicator,None,False,18.15280127,18.15280127,100
indicator,indicator,True,14.83273626,14.83273626,100
indicator,indicator,False,13.73469997,13.73469997,100
indicator,probability,True,7.56642452,7.56642452,100
indicator,probability,False,9.746658042,9.746658042,100
indicator,sum,True,4.370584138,4.370584138,100
indicator,sum,False,5.687879391,5.687879391,100
indicator,product,True,7.844644575,7.844644575,100
indicator,product,False,10.32416161,10.32416161,100
probability,None,True,19.51006734,19.51006734,100
probability,None,False,12.92616181,12.92616181,100
probability,indicator,True,8.911500315,8.911500315,100
probability,indicator,False,25.76218197,25.76218197,100
probability,probability,True,3.800792782,3.800792782,100
probability,probability,False,7.771171261,7.771171261,100
probability,sum,True,7.789000564,7.789000564,100
probability,sum,False,4.700136,4.700136,100
probability,product,True,7.528775666,7.528775666,100
probability,product,False,8.024430292,8.024430292,100
