acquisition_function,ml_bounds,ml_target,consider_only_true_max,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
eic,indicator,None,True,22.78,65.182,22.78,65.182,100.0,85.091
eic,indicator,None,False,8.833,13.026,8.833,13.026,100.0,88.328
eic,indicator,indicator,True,18.882,69.421,18.882,69.421,100.0,96.961
eic,indicator,indicator,False,1.976,8.273,1.976,8.273,100.0,96.513
eic,indicator,probability,True,4.531,8.215,4.531,8.215,100.0,94.18
eic,indicator,probability,False,5.837,14.661,5.837,14.661,100.0,96.279
eic,indicator,sum,True,6.45,13.383,6.45,13.383,100.0,99.256
eic,indicator,sum,False,5.352,10.188,5.352,10.188,100.0,93.651
eic,indicator,product,True,5.805,9.347,5.805,9.347,100.0,94.316
eic,indicator,product,False,4.768,12.636,4.768,12.636,100.0,96.834
eic,probability,None,True,21.466,56.187,21.466,56.187,100.0,87.857
eic,probability,None,False,9.512,10.557,9.512,10.557,100.0,87.47
eic,probability,indicator,True,12.654,57.991,12.654,57.991,100.0,92.761
eic,probability,indicator,False,0.275,0.614,0.275,0.614,100.0,94.557
eic,probability,probability,True,4.487,6.017,4.487,6.017,100.0,93.168
eic,probability,probability,False,6.865,9.877,6.865,9.877,100.0,91.818
eic,probability,sum,True,4.256,7.242,4.256,7.242,100.0,95.382
eic,probability,sum,False,6.892,8.975,6.892,8.975,100.0,97.585
eic,probability,product,True,6.115,8.117,6.115,8.117,100.0,93.41
eic,probability,product,False,6.891,10.145,6.891,10.145,100.0,91.942
DiscreteBO,indicator,None,True,114.422,71.089,114.422,71.089,100.0,886.311
DiscreteBO,indicator,None,False,110.313,77.948,110.313,77.948,100.0,870.868
DiscreteBO,indicator,indicator,True,27.385,29.959,27.385,29.959,100.0,746.602
DiscreteBO,indicator,indicator,False,19.997,27.14,19.997,27.14,100.0,674.882
DiscreteBO,indicator,probability,True,79.807,102.604,79.807,102.604,100.0,960.757
DiscreteBO,indicator,probability,False,53.114,76.21,53.114,76.21,100.0,723.451
DiscreteBO,indicator,sum,True,1.607,3.441,1.607,3.441,100.0,1454.63
DiscreteBO,indicator,sum,False,2.115,6.683,2.115,6.683,100.0,868.808
DiscreteBO,indicator,product,True,52.665,74.308,52.665,74.308,100.0,1680.289
DiscreteBO,indicator,product,False,31.778,30.903,31.778,30.903,100.0,1383.04
DiscreteBO,probability,None,True,22.494,44.954,22.494,44.954,100.0,231.325
DiscreteBO,probability,None,False,22.18,39.944,22.18,39.944,100.0,229.458
DiscreteBO,probability,indicator,True,19.425,49.773,19.425,49.773,100.0,1014.133
DiscreteBO,probability,indicator,False,6.996,18.05,6.996,18.05,100.0,1061.382
DiscreteBO,probability,probability,True,20.114,30.072,20.114,30.072,100.0,231.456
DiscreteBO,probability,probability,False,36.678,58.102,36.678,58.102,100.0,229.655
DiscreteBO,probability,sum,True,8.491,17.942,8.491,17.942,100.0,2028.874
DiscreteBO,probability,sum,False,2.613,3.267,2.613,3.267,100.0,1736.609
DiscreteBO,probability,product,True,37.243,37.688,37.243,37.688,100.0,1056.167
DiscreteBO,probability,product,False,31.652,33.462,31.652,33.462,100.0,1128.829
