ml_bounds,ml_target,consider_only_True_max,error (%),error_cleaned (%),feasible_values_found (%)
indicator,None,True,144.99042845684693,144.9904285,100
indicator,None,False,130.93035776301548,130.9303578,100
indicator,indicator,True,147.03975012966697,147.0397501,100
indicator,indicator,False,inf,130.5713401,96.66666667
indicator,probability,True,141.94947737329176,141.9494774,100
indicator,probability,False,129.42806277809586,129.4280628,100
indicator,sum,True,127.63880411358242,127.6388041,100
indicator,sum,False,135.54632926654162,135.5463293,100
indicator,product,True,130.76341198079402,130.763412,100
indicator,product,False,129.97484151957653,129.9748415,100
probability,None,True,inf,140.7580909,96.66666667
probability,None,False,144.4934127061173,144.4934127,100
probability,indicator,True,inf,161.7414399,96.66666667
probability,indicator,False,160.26470273737556,160.2647027,100
probability,probability,True,inf,131.1541656,96.66666667
probability,probability,False,146.75443512469758,146.7544351,100
probability,sum,True,153.11660440325784,153.1166044,100
probability,sum,False,151.1157417421688,151.1157417,100
probability,product,True,149.39889025489535,149.3988903,100
probability,product,False,150.14383723101372,150.1438372,100
