ml_bounds,ml_target,consider_only_true_max,epsilon_greedy,adaptive_method_kernel,af,threshold,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
indicator,None,True,True,None,ei,300,6.045,16.375,6.045,16.375,100.0,5.865
indicator,None,True,True,RBF,ei,300,2.531,9.471,2.531,9.471,100.0,21.122
indicator,None,True,True,RBF,ucb,300,7.202,16.634,7.202,16.634,100.0,47.944
indicator,None,True,True,Matern,ei,300,14.135,25.324,14.135,25.324,100.0,6.098
indicator,None,True,True,Matern,ucb,300,21.77,29.852,21.77,29.852,100.0,6.122
indicator,None,True,False,None,ei,300,14.562,28.218,14.562,28.218,100.0,6.626
indicator,None,True,False,RBF,ei,300,1.132,6.096,1.132,6.096,100.0,23.502
indicator,None,True,False,RBF,ucb,300,5.777,15.877,5.777,15.877,100.0,57.333
indicator,None,True,False,Matern,ei,300,20.464,33.557,20.464,33.557,100.0,5.343
indicator,None,True,False,Matern,ucb,300,24.078,31.685,24.078,31.685,100.0,3.819
indicator,None,False,True,None,ei,300,6.045,16.375,6.045,16.375,100.0,6.058
indicator,None,False,True,RBF,ei,300,2.531,9.471,2.531,9.471,100.0,20.411
indicator,None,False,True,RBF,ucb,300,8.2,17.033,8.2,17.033,100.0,52.371
indicator,None,False,True,Matern,ei,300,14.135,25.324,14.135,25.324,100.0,5.435
indicator,None,False,True,Matern,ucb,300,21.77,29.852,21.77,29.852,100.0,6.452
indicator,None,False,False,None,ei,300,14.562,28.218,14.562,28.218,100.0,6.611
indicator,None,False,False,RBF,ei,300,1.132,6.096,1.132,6.096,100.0,22.362
indicator,None,False,False,RBF,ucb,300,4.057,16.691,4.057,16.691,100.0,54.892
indicator,None,False,False,Matern,ei,300,20.464,33.557,20.464,33.557,100.0,5.34
indicator,None,False,False,Matern,ucb,300,24.078,31.685,24.078,31.685,100.0,3.875
indicator,indicator,True,True,None,ei,300,7.72,19.236,7.72,19.236,100.0,6.301
indicator,indicator,True,True,RBF,ei,300,8.509,20.425,8.509,20.425,100.0,21.847
indicator,indicator,True,True,RBF,ucb,300,12.979,21.108,12.979,21.108,100.0,52.373
indicator,indicator,True,True,Matern,ei,300,18.647,31.87,18.647,31.87,100.0,8.259
indicator,indicator,True,True,Matern,ucb,300,20.989,32.445,20.989,32.445,100.0,9.165
indicator,indicator,True,False,None,ei,300,12.276,23.721,12.276,23.721,100.0,8.071
indicator,indicator,True,False,RBF,ei,300,7.462,20.419,7.462,20.419,100.0,24.208
indicator,indicator,True,False,RBF,ucb,300,9.988,23.81,9.988,23.81,100.0,51.571
indicator,indicator,True,False,Matern,ei,300,32.706,37.232,32.706,37.232,100.0,3.813
indicator,indicator,True,False,Matern,ucb,300,22.524,30.497,22.524,30.497,100.0,3.651
indicator,indicator,False,True,None,ei,300,7.72,19.236,7.72,19.236,100.0,5.663
indicator,indicator,False,True,RBF,ei,300,9.507,20.689,9.507,20.689,100.0,20.924
indicator,indicator,False,True,RBF,ucb,300,4.864,12.226,4.864,12.226,100.0,51.591
