ml_bounds,ml_target,consider_only_true_max,epsilon_greedy,adaptive_method_kernel,af,threshold,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
indicator,None,False,False,None,ei,300,19.435,33.755,19.435,33.755,100.0,3.041
probability,None,False,False,None,ei,300,15.924,29.464,15.924,29.464,100.0,3.062
indicator,indicator,False,False,None,ei,300,14.582,27.73,14.582,27.73,100.0,3.108
indicator,probability,False,False,None,ei,300,21.37,35.225,21.37,35.225,100.0,3.429
indicator,sum,False,False,None,ei,300,21.723,38.304,21.723,38.304,100.0,3.256
indicator,product,False,False,None,ei,300,19.858,30.185,19.858,30.185,100.0,3.248
indicator,None,True,False,None,ei,300,19.435,33.755,19.435,33.755,100.0,3.195
indicator,None,False,True,None,ei,300,14.296,27.563,14.296,27.563,100.0,2.922
indicator,None,False,False,RBF,ucb,300,3.732,10.989,3.732,10.989,100.0,11.969
indicator,None,False,False,Matern,ucb,300,17.92,27.321,17.92,27.321,100.0,0.87
indicator,None,False,False,RBF,ei,300,1.334,6.813,1.334,6.813,100.0,7.693
indicator,None,False,False,Matern,ei,300,20.783,31.452,20.783,31.452,100.0,1.831
