ml_bounds,ml_target,consider_only_true_max,epsilon_greedy,adaptive_method_kernel,af,threshold,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
probability,product,False,False,Matern,ei,65,inf,inf,0.0,0.0,56.667,7.074
probability,product,False,False,Matern,ei,150,inf,inf,4.539,12.086,86.667,7.193
probability,product,False,False,Matern,ei,300,18.211,30.832,18.211,30.832,100.0,6.81
probability,product,False,False,Matern,ei,450,21.646,34.926,21.646,34.926,100.0,6.44
probability,product,False,False,Matern,ei,600,29.982,36.237,29.982,36.237,100.0,6.636
probability,product,True,False,Matern,ei,65,inf,inf,0.206,0.617,66.667,8.455
probability,product,True,False,Matern,ei,150,inf,inf,10.357,33.902,76.667,9.837
probability,product,True,False,Matern,ei,300,22.175,34.828,22.175,34.828,100.0,5.319
probability,product,True,False,Matern,ei,450,31.205,37.195,31.205,37.195,100.0,7.436
probability,product,True,False,Matern,ei,600,18.612,29.669,18.612,29.669,100.0,6.846
probability,sum,True,False,Matern,ei,65,inf,inf,0.257,0.68,53.333,8.493
probability,sum,True,False,Matern,ei,150,inf,inf,5.66,12.655,80.0,6.893
probability,sum,True,False,Matern,ei,300,16.46,29.247,16.46,29.247,100.0,6.878
probability,sum,True,False,Matern,ei,450,15.219,28.551,15.219,28.551,100.0,7.025
probability,sum,True,False,Matern,ei,600,17.621,29.061,17.621,29.061,100.0,6.802
indicator,product,True,True,Matern,ei,65,inf,inf,-0.0,0.0,93.333,13.821
indicator,product,True,True,Matern,ei,150,inf,inf,8.013,20.69,96.667,7.127
indicator,product,True,True,Matern,ei,300,26.413,34.412,26.413,34.412,100.0,6.525
indicator,product,True,True,Matern,ei,450,28.042,36.478,28.042,36.478,100.0,6.059
indicator,product,True,True,Matern,ei,600,22.292,33.92,22.292,33.92,100.0,6.136
indicator,sum,False,True,None,ei,65,inf,inf,0.0,0.0,66.667,6.505
indicator,sum,False,True,None,ei,150,inf,inf,4.008,14.13,90.0,6.624
