index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
119993,12.0,50.0,256.0,32.0,1024.0,4.0,72.0,3.0,-12243.4123901151,,,False,True,
108142,12.0,20.0,30.0,128.0,256.0,1.0,48.0,4.0,-1818.47199057945,,,False,False,
79956,12.0,1.0,256.0,32.0,256.0,3.0,16.0,3.0,-1935.05942948286,,,False,True,
235695,20.0,10.0,10.0,128.0,1024.0,4.0,48.0,3.0,-16268.7112430919,,,False,False,
48663,8.0,10.0,256.0,192.0,256.0,2.0,48.0,3.0,-2241.11336998201,,,False,True,
490577,72.0,50.0,10.0,128.0,256.0,5.0,72.0,3.0,-8118.88351158686,,,False,False,
192238,20.0,20.0,30.0,64.0,256.0,1.0,12.0,4.0,-1403.42205772956,,,False,False,
453278,72.0,5.0,50.0,32.0,1024.0,1.0,20.0,3.0,-9754.29014591056,,,False,False,
396065,48.0,50.0,50.0,224.0,1024.0,3.0,20.0,3.0,-9785.78537140035,,,False,False,
116293,12.0,2.0,30.0,192.0,1024.0,1.0,72.0,3.0,-8065.40488067745,,,False,False,
177756,16.0,1.0,50.0,192.0,1024.0,1.0,72.0,3.0,-7420.38586006933,,,False,False,
78420,12.0,1.0,256.0,32.0,256.0,2.0,16.0,3.0,-2180.85396295824,,504.66598899911855,False,False,0.05247179017064146
167848,16.0,20.0,30.0,96.0,256.0,5.0,32.0,3.0,-3518.16481653276,,1030.770691917785,False,False,0.06053313358213284
189187,20.0,2.0,50.0,64.0,256.0,4.0,8.0,4.0,-2772.04803858962,,679.7717055910491,False,False,0.15052979973018768
199726,20.0,20.0,30.0,32.0,256.0,1.0,16.0,4.0,-1449.95682457027,,722.0334380869792,False,False,0.09990175355061084
64583,12.0,50.0,50.0,32.0,256.0,3.0,8.0,4.0,-1967.68225084014,,749.7092503229665,False,False,0.08038067657111261
61655,12.0,50.0,10.0,64.0,256.0,1.0,8.0,4.0,-2288.49464182784,,745.9188683675178,False,False,0.34631901463193043
98774,12.0,5.0,256.0,96.0,256.0,5.0,24.0,3.0,-3400.67363487257,,782.2883428686935,False,False,0.394658169140572
177474,16.0,1.0,50.0,160.0,256.0,1.0,72.0,4.0,-2216.54545218266,,719.8052645036726,False,False,0.1508214035587268
420954,48.0,1.0,256.0,32.0,256.0,5.0,48.0,4.0,-4858.57464315546,,685.2751058461374,False,True,0.45880196277884566
215826,20.0,1.0,10.0,160.0,256.0,1.0,24.0,4.0,-2522.57529148739,,676.953293925586,False,False,0.22996687397316695
368662,48.0,20.0,10.0,32.0,256.0,1.0,8.0,4.0,-4481.98658990985,,651.3059369307647,False,False,0.41442095837681453
39232,8.0,20.0,50.0,160.0,256.0,1.0,32.0,3.0,-1484.0729602493,,727.2779784022614,False,False,0.11176082722348601
28,8.0,20.0,30.0,32.0,256.0,1.0,8.0,1.0,-1579.31734188278,,616.9895975004532,False,False,0.3820636228058893
46150,8.0,20.0,50.0,32.0,256.0,1.0,48.0,4.0,-1076.28770000922,,650.0997092597198,False,False,0.41926345857742203
48623,8.0,50.0,30.0,192.0,256.0,2.0,48.0,4.0,-1991.83002939429,,513.4226739229728,False,False,0.04665683025531889
314573,32.0,50.0,256.0,224.0,256.0,5.0,8.0,1.0,-3607.34523337504,,506.65403717915956,False,False,0.3294396291345077
22725,8.0,10.0,50.0,224.0,256.0,5.0,16.0,4.0,-2888.70432080372,,492.116062930765,False,False,0.14934715262661216
61339,8.0,2.0,256.0,256.0,256.0,5.0,72.0,4.0,-5873.5160739961,,471.99121502348896,False,False,0.02286533017308275
483167,72.0,50.0,256.0,160.0,256.0,5.0,48.0,4.0,-5318.18541444742,,416.2693993371113,False,True,0.6693009090595707
56874,8.0,1.0,30.0,32.0,256.0,3.0,72.0,4.0,-4091.58999702863,,427.50925728179,False,False,0.08628799593611802
38470,8.0,20.0,50.0,32.0,256.0,1.0,32.0,4.0,-1796.228690926,,458.8220751382835,False,False,0.14577008811788386
53831,8.0,50.0,50.0,32.0,256.0,1.0,72.0,4.0,-1829.31139540705,,772.8952259882137,False,False,0.34500758739437193
6221,8.0,50.0,256.0,32.0,256.0,5.0,8.0,1.0,-2137.04519749964,,492.5484082423538,False,True,0.016200913960319786
43037,8.0,50.0,30.0,32.0,256.0,4.0,32.0,1.0,-3408.53898352707,,438.1764799628053,False,False,0.216016330987972
815,8.0,50.0,30.0,160.0,256.0,1.0,8.0,4.0,-1612.54438600498,,439.4874164951722,False,False,0.24328768409194282
48443,8.0,50.0,50.0,160.0,256.0,2.0,48.0,2.0,-2641.61693633419,,411.58333442195124,False,False,0.14275147099167246
1157,8.0,50.0,10.0,224.0,256.0,1.0,8.0,1.0,-2522.39459413626,,416.8848509738535,False,False,0.5376328805613513
354886,32.0,20.0,50.0,32.0,256.0,2.0,48.0,4.0,-2802.05618843446,,394.44562376563283,False,False,0.24464965620349313
54925,8.0,2.0,10.0,224.0,256.0,1.0,72.0,3.0,-2676.59996578018,,391.0355766905174,False,False,0.22926452386771323
55175,8.0,50.0,50.0,256.0,256.0,1.0,72.0,4.0,-2001.2816562368,,365.0837268025271,False,False,0.12499271714717358
368453,32.0,50.0,10.0,256.0,256.0,5.0,72.0,1.0,-9656.20430778317,,368.47681449516267,False,False,0.4526738831425581
2567,8.0,50.0,50.0,192.0,256.0,2.0,8.0,4.0,-1699.42467661349,,425.56373299958176,False,False,0.33309027073779507
54980,8.0,5.0,50.0,224.0,256.0,1.0,72.0,4.0,-1965.2641815645,,488.39362540694844,False,False,0.11646214299301089
54546,8.0,1.0,10.0,160.0,256.0,1.0,72.0,4.0,-2568.69924020744,,395.6312644763452,False,False,0.3929801920523405
6984,8.0,1.0,256.0,160.0,256.0,5.0,8.0,1.0,-2333.15392492624,,355.90094912370535,False,True,0.13314870952630448
474600,72.0,1.0,256.0,256.0,1024.0,4.0,32.0,1.0,-12069.6579318648,,331.87715782994644,False,True,0.395137446017238
50375,8.0,50.0,50.0,224.0,256.0,3.0,48.0,4.0,-3901.6116151326,,333.60004129169994,False,False,0.2217831104645793
982,8.0,20.0,10.0,192.0,256.0,1.0,8.0,4.0,-2897.99231115851,,448.4416117620334,False,False,0.44686421258971687
56706,8.0,1.0,50.0,256.0,256.0,2.0,72.0,4.0,-2020.85419181932,,356.11001128174405,False,True,0.04713839757694132
263,8.0,50.0,50.0,64.0,256.0,1.0,8.0,4.0,-965.177017744276,,322.4661646506403,False,False,0.1552223999855711
312071,32.0,50.0,50.0,64.0,256.0,4.0,8.0,4.0,-1785.58689870692,,294.0364576958958,False,False,0.15539110467287057
7007,8.0,50.0,256.0,160.0,256.0,5.0,8.0,4.0,-2073.48655034239,,267.0907612170142,False,True,0.9012443826877242
53038,8.0,20.0,30.0,160.0,256.0,5.0,48.0,4.0,-5206.7313047304,,240.6973218843964,False,False,0.15193141271598795
31344,8.0,1.0,50.0,128.0,256.0,1.0,24.0,1.0,-1356.09217684941,,710.1063045151698,False,False,0.09457054409943445
312645,32.0,10.0,50.0,160.0,256.0,4.0,8.0,4.0,-1993.90023326754,,685.2163452666157,False,False,0.15132271869576366
59010,8.0,1.0,50.0,128.0,256.0,4.0,72.0,4.0,-4166.34767343695,,498.75585177216215,False,True,0.029534492539451434
275591,24.0,50.0,50.0,128.0,256.0,5.0,20.0,4.0,-3065.91745411922,,449.04951700542074,False,False,0.09886701767457881
30000,8.0,1.0,50.0,160.0,256.0,5.0,20.0,1.0,-2909.22539928117,,378.148509175244,False,False,0.12066746220664945
428034,48.0,1.0,50.0,192.0,256.0,4.0,72.0,4.0,-5643.93009507205,,377.22098831728584,False,False,0.21399254501098483
51550,8.0,20.0,256.0,160.0,256.0,4.0,48.0,4.0,-3283.99405391146,,315.1761787151133,False,True,0.05187973459639083
1054,8.0,20.0,256.0,192.0,256.0,1.0,8.0,4.0,-1203.42689199922,,331.06148135468135,False,True,0.3072723690713018
312858,32.0,1.0,256.0,192.0,256.0,4.0,8.0,4.0,-2152.61172709778,,356.3112902304308,False,True,0.016393940777169255
1230,8.0,1.0,256.0,224.0,256.0,1.0,8.0,2.0,-1416.27067948564,,312.5590398168909,False,True,0.022689529774543762
22536,8.0,1.0,256.0,192.0,256.0,5.0,16.0,1.0,-2018.26778324157,,291.77858227549916,False,True,0.09111223311097184
6605,8.0,50.0,256.0,96.0,256.0,5.0,8.0,1.0,-3094.52787090536,,281.79933375636676,False,False,0.05559447015652412
376218,48.0,1.0,256.0,256.0,256.0,5.0,8.0,4.0,-3587.97943542139,,267.10347467564736,False,False,0.05642051667783688
6220,8.0,20.0,256.0,32.0,256.0,5.0,8.0,1.0,-2767.16316641396,,262.5077162536139,False,False,0.0833745445178105
50783,8.0,50.0,256.0,32.0,256.0,4.0,48.0,4.0,-3409.65757726552,,275.45800732032643,False,True,0.031275546948874716
436319,72.0,50.0,256.0,32.0,256.0,5.0,8.0,4.0,-4288.35571672814,,248.88054395439468,False,False,0.26966094078770486
49415,8.0,50.0,50.0,64.0,256.0,3.0,48.0,4.0,-2509.51776297189,,257.15481171905014,False,False,0.00875655667330285
