index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
74460,12.0,1.0,50.0,128.0,1024.0,4.0,12.0,3.0,-8331.85559931154,,,False,False,
369146,48.0,5.0,30.0,96.0,1024.0,1.0,8.0,1.0,-8415.39193642002,,,False,False,
80194,12.0,20.0,30.0,64.0,1024.0,3.0,16.0,2.0,-5935.76277324794,,,False,False,
222146,20.0,5.0,10.0,192.0,256.0,5.0,24.0,1.0,-4653.60351928529,,,False,False,
390838,48.0,20.0,10.0,128.0,1024.0,5.0,16.0,4.0,-20219.4179135751,,,False,False,
423176,48.0,5.0,10.0,160.0,256.0,1.0,72.0,2.0,-3348.52997416654,,,False,False,
5702,8.0,5.0,30.0,192.0,1024.0,4.0,8.0,3.0,-8234.95840205545,,,False,False,
431200,72.0,20.0,50.0,192.0,1024.0,1.0,8.0,3.0,-13411.1297608049,,,False,False,
106056,12.0,1.0,256.0,32.0,256.0,5.0,32.0,1.0,-3335.4346101802,,,False,True,
265757,24.0,50.0,30.0,32.0,256.0,4.0,16.0,1.0,-2009.86777645785,,,False,False,
359173,32.0,2.0,30.0,224.0,1024.0,4.0,48.0,3.0,-14863.116717606,,,False,False,
293429,24.0,50.0,50.0,32.0,256.0,2.0,48.0,1.0,-3041.68665653805,,6821.649210500793,False,False,0.1392809072599986
40009,8.0,2.0,256.0,32.0,256.0,2.0,32.0,1.0,-1925.49379892504,,6596.593623202671,False,True,0.01232367260452836
7757,8.0,50.0,256.0,32.0,256.0,1.0,12.0,1.0,-1570.17235197386,,7634.693116154906,False,False,0.054006104338070404
286,8.0,20.0,256.0,64.0,256.0,1.0,8.0,4.0,-1104.37956936388,,8252.795927004694,False,False,0.13136040532804097
430175,72.0,50.0,256.0,32.0,256.0,1.0,8.0,4.0,-2762.78748892792,,7416.19964192007,False,False,0.03733276914708559
360,8.0,1.0,256.0,64.0,1024.0,1.0,8.0,1.0,-2878.844122759,,7365.862150677672,False,False,0.8124769539680367
345793,32.0,2.0,10.0,64.0,256.0,1.0,32.0,1.0,-2357.89744126135,,8150.499298314631,False,False,0.1532555722964791
54047,8.0,50.0,256.0,64.0,256.0,1.0,72.0,4.0,-2051.37047019359,,8586.799634163974,False,True,0.1528872724195782
384437,48.0,50.0,50.0,96.0,256.0,1.0,16.0,1.0,-2282.79340823586,,8273.170459259405,False,False,0.1379105936529243
39053,8.0,50.0,256.0,128.0,256.0,1.0,32.0,1.0,-1943.30065817787,,8114.461627676788,False,False,0.051305293802757515
54426,8.0,1.0,256.0,128.0,256.0,1.0,72.0,4.0,-2129.41536506592,,8047.496367867194,False,True,0.4555883809425005
60311,8.0,50.0,10.0,96.0,256.0,5.0,72.0,4.0,-7368.4773151472,,8039.292030297356,False,False,0.24413897659265452
476639,72.0,50.0,256.0,96.0,256.0,1.0,48.0,4.0,-3408.31233372802,,7763.090510238386,False,False,0.4338919930994521
430131,72.0,10.0,50.0,32.0,256.0,1.0,8.0,1.0,-2805.41054507328,,7806.868169128572,False,False,0.34217031717496693
369498,48.0,1.0,256.0,160.0,256.0,1.0,8.0,4.0,-2349.63186520889,,7367.99629373863,False,False,0.1494495507712182
