index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
146023,16.0,2.0,10.0,32.0,1024.0,1.0,20.0,2.0,-4144.56998055372,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
47781,8.0,10.0,50.0,32.0,1024.0,2.0,48.0,4.0,-6067.40482464636,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,True,
237482,20.0,5.0,256.0,160.0,1024.0,5.0,48.0,1.0,-15971.0927214262,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
323347,32.0,2.0,10.0,160.0,256.0,1.0,16.0,4.0,-3000.99919551344,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
195224,20.0,5.0,50.0,32.0,1024.0,3.0,12.0,2.0,-4592.87797495183,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
144282,16.0,1.0,256.0,256.0,256.0,4.0,16.0,4.0,-2431.29850654756,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
215438,20.0,5.0,10.0,96.0,256.0,1.0,24.0,3.0,-1522.93936709201,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
417679,48.0,2.0,256.0,256.0,256.0,2.0,48.0,2.0,-3564.54799042112,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
442765,72.0,2.0,10.0,96.0,256.0,4.0,12.0,3.0,-4930.74062190977,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
69536,12.0,5.0,30.0,96.0,256.0,1.0,12.0,2.0,-1553.08420816222,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
248119,24.0,2.0,50.0,160.0,256.0,2.0,8.0,2.0,-1820.27328659596,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,,False,False,
53831,8.0,50.0,50.0,32.0,256.0,1.0,72.0,4.0,-1829.31139540705,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,964.7769548989597,False,False,0.11935966416543128
6810,8.0,1.0,256.0,128.0,256.0,5.0,8.0,4.0,-2378.49559171991,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,666.6492927190401,False,True,0.01243724364592379
53808,8.0,1.0,50.0,32.0,256.0,1.0,72.0,1.0,-2514.97137418681,146023//47781//237482//323347//195224//144282//215438//417679//442765//69536//248119//53831//6810//53808//8135//5268//21930//253341//322459//270231//316300//61888//261529//34229//77402//15791//184956//215667//627//145031//313946//100270//276905//161675//323015//335278//146183//23664//33072//820//25372//42310//6939//797//21892//42244//8668//5619//8669//246785//107747//54011//46343//353531//54197//353345//247006//194783//101068//346828//25802//53470//154828//369886//311515//369881//46705//46708//438988//317470//25612,515.0316993317152,False,False,0.14530594819659218
