index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
434396,72.0,5.0,256.0,224.0,256.0,3.0,8.0,4.0,-4217.48325828947,,,False,False,
291286,24.0,20.0,10.0,192.0,256.0,5.0,32.0,4.0,-5347.47915077436,,,False,False,
117631,12.0,2.0,30.0,160.0,1024.0,2.0,72.0,2.0,-9725.91129465201,,,False,False,
306904,24.0,20.0,256.0,224.0,256.0,5.0,72.0,3.0,-4399.61791576602,,,False,True,
454335,72.0,10.0,50.0,224.0,256.0,1.0,20.0,3.0,-3400.56148518584,,,False,False,
83997,12.0,10.0,256.0,192.0,256.0,5.0,16.0,4.0,-2783.89013202955,,,False,True,
120715,12.0,2.0,30.0,160.0,1024.0,4.0,72.0,4.0,-18354.1240545776,,,False,False,
139343,16.0,50.0,30.0,192.0,1024.0,1.0,16.0,4.0,-2975.82932925456,,,False,False,
41450,8.0,5.0,256.0,256.0,1024.0,2.0,32.0,1.0,-5822.31809911246,,,False,True,
465677,72.0,50.0,256.0,64.0,256.0,4.0,24.0,1.0,-3933.07565442201,,,False,False,
188350,20.0,20.0,256.0,160.0,1024.0,3.0,8.0,4.0,-4983.51224484804,,,False,True,
79383,12.0,10.0,256.0,192.0,256.0,2.0,16.0,3.0,-1461.84791337115,,5559.013473738603,False,True,0.03810885111135812
82443,12.0,10.0,256.0,192.0,256.0,4.0,16.0,1.0,-2643.63622578157,,6225.203361280262,False,False,0.05937553794415886
19479,8.0,10.0,256.0,192.0,256.0,3.0,16.0,3.0,-2160.56697102926,,6153.167018356931,False,True,0.003091436549824478
73239,12.0,10.0,256.0,192.0,256.0,3.0,12.0,3.0,-1816.91820577551,,6169.436679923453,False,True,0.03388278073767503
8721,8.0,10.0,256.0,192.0,256.0,1.0,12.0,2.0,-1603.34628658453,,6197.514104596965,False,False,0.06303008271170933
131595,16.0,10.0,256.0,192.0,256.0,1.0,12.0,1.0,-1755.30645831809,,5954.4963271553825,False,False,0.042488709362849014
79382,12.0,5.0,256.0,192.0,256.0,2.0,16.0,3.0,-2276.61817763791,,6162.048924055915,False,False,0.029296287226683603
123933,16.0,10.0,256.0,192.0,256.0,1.0,8.0,4.0,-1716.58289259505,,5939.250726847029,False,False,0.08686007175538912
200733,20.0,10.0,256.0,192.0,256.0,1.0,16.0,4.0,-2021.58709658919,,5857.836641266633,False,False,0.06028348535050474
146967,16.0,10.0,256.0,192.0,256.0,1.0,20.0,3.0,-1991.7063898676,,5944.4620554045605,False,False,0.07227617435055742
24092,8.0,5.0,256.0,192.0,256.0,1.0,20.0,4.0,-2088.44539522197,,5671.991766602209,False,False,0.04481512467575693
154703,16.0,50.0,30.0,192.0,1024.0,1.0,24.0,4.0,-4848.21025467023,,5497.479520838389,False,False,0.6885330563094116
24075,8.0,10.0,256.0,192.0,256.0,1.0,20.0,1.0,-1384.58366554515,,5311.3197778001695,False,True,0.005238377294217217
131608,16.0,20.0,256.0,192.0,256.0,1.0,12.0,3.0,-1121.86524062319,,5271.04133963411,False,True,0.22235402307893884
77848,12.0,20.0,256.0,192.0,256.0,1.0,16.0,3.0,-1921.74247698355,,5669.824664220998,False,False,0.18820491597508923
200728,20.0,20.0,256.0,192.0,256.0,1.0,16.0,3.0,-1762.2560791055,,5599.347642617325,False,False,0.02373953616430132
185374,20.0,20.0,256.0,192.0,256.0,1.0,8.0,4.0,-1361.8673024786,,5447.637752512157,False,False,0.049229559304840555
