index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
93509,12.0,50.0,10.0,256.0,256.0,1.0,24.0,1.0,-2343.3396503128,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
41291,8.0,50.0,10.0,256.0,256.0,2.0,32.0,2.0,-2611.19337096302,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
414183,48.0,10.0,30.0,192.0,256.0,5.0,32.0,3.0,-4907.85486027512,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
372018,48.0,1.0,10.0,64.0,1024.0,3.0,8.0,4.0,-15645.0005800015,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
272925,24.0,10.0,256.0,192.0,256.0,3.0,20.0,4.0,-2157.64964416218,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,True,
68282,12.0,5.0,30.0,128.0,1024.0,5.0,8.0,1.0,-7851.87769807534,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
14458,8.0,20.0,50.0,128.0,256.0,5.0,12.0,2.0,-2538.96806027331,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
373737,48.0,10.0,10.0,96.0,1024.0,4.0,8.0,2.0,-20030.2710665012,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
387318,48.0,1.0,50.0,64.0,256.0,3.0,16.0,2.0,-3202.42949829363,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
177466,16.0,20.0,50.0,160.0,256.0,1.0,72.0,2.0,-1445.19817594796,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
484617,72.0,10.0,10.0,160.0,256.0,1.0,72.0,2.0,-3843.4522393283,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,,False,False,
54360,8.0,1.0,30.0,128.0,256.0,1.0,72.0,1.0,-2161.90341519046,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,1239.0601808683136,False,False,0.13726396879566402
183646,16.0,20.0,256.0,160.0,256.0,5.0,72.0,4.0,-4904.85409263309,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,984.581417630056,False,True,0.05817890966456213
431304,72.0,1.0,256.0,224.0,256.0,1.0,8.0,1.0,-2719.04923785582,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,935.8040968964941,False,True,0.028105377750323745
4509,8.0,10.0,256.0,256.0,256.0,3.0,8.0,4.0,-2654.79927330889,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,956.3534155413719,False,False,0.08072955942779478
60923,8.0,50.0,50.0,192.0,256.0,5.0,72.0,2.0,-6601.0429353578,93509//41291//414183//372018//272925//68282//14458//373737//387318//177466//484617//54360//183646//431304//4509//60923//271389//72//363142//48432//313629//49224//56106//360648//15053//73//437073//31110//238290//264//15360//6339//107568//15408//47856//52248//414768//284231//68447//6984//3660//39341//54150//436410//368658//437663//7636//391193//54011//46499//46523//491502//77//2009//22902//431477//469828//46325//46709//176696//491466//61343//430715//323969//7368//60287//58236//482772//437658//46547//60378,878.0072307341184,False,False,0.08613882892639374
