index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
407811,48.0,10.0,10.0,160.0,256.0,1.0,32.0,1.0,-2851.50076876096,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
31835,8.0,50.0,50.0,192.0,1024.0,1.0,24.0,2.0,-4778.13865200452,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
79615,12.0,2.0,30.0,224.0,1024.0,2.0,16.0,2.0,-4460.89288328804,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
290432,24.0,5.0,30.0,32.0,1024.0,5.0,32.0,2.0,-15510.8811075099,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
262861,24.0,2.0,10.0,64.0,256.0,2.0,16.0,3.0,-1988.22886123023,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
386471,48.0,50.0,50.0,160.0,1024.0,2.0,16.0,4.0,-9856.71445255207,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
291173,24.0,50.0,10.0,160.0,1024.0,5.0,32.0,1.0,-20456.7811345757,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
165019,16.0,2.0,256.0,128.0,256.0,3.0,32.0,4.0,-2318.59244233209,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,True,
74545,12.0,2.0,50.0,160.0,256.0,4.0,12.0,1.0,-2142.50683726157,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
77350,12.0,20.0,50.0,96.0,1024.0,1.0,16.0,4.0,-2337.63072032234,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
476177,72.0,50.0,10.0,32.0,256.0,1.0,48.0,3.0,-4059.02701854722,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,,False,False,
98962,12.0,20.0,256.0,128.0,256.0,5.0,24.0,2.0,-3400.25087698572,407811//31835//79615//290432//262861//386471//291173//165019//74545//77350//476177//98962//163483//337411//7130//53233//231258//400026//62298//5640//68016//369792//261978//416706//413232//476544//46533//23637//38787//349318//46314//27605//859//23447//38633//6725//215//46487//38812//186714//46668//30916//8064//77658//230855//307463//8129//338351//38855//359706//305923//490463//428436//185339//375797//37123//52644//106758//289216//766//427965//6526//75738//483138//84145//121434//52858//1529//107994//34074//50718,1188.7762480773563,False,False,0.10164815152499408
