index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
75801,12.0,10.0,50.0,96.0,1024.0,5.0,12.0,2.0,-6716.97672998219,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,False,
249791,24.0,50.0,256.0,160.0,1024.0,3.0,8.0,4.0,-4540.16863906218,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,False,
297877,24.0,2.0,256.0,256.0,256.0,4.0,48.0,3.0,-3247.27168888777,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,True,
265141,24.0,2.0,256.0,160.0,1024.0,3.0,16.0,3.0,-4827.27342464804,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,False,
20406,8.0,1.0,50.0,96.0,256.0,4.0,16.0,2.0,-2549.46554201231,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,False,
405172,48.0,20.0,50.0,224.0,256.0,4.0,24.0,1.0,-3654.97171728536,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,False,
118040,12.0,5.0,50.0,224.0,1024.0,2.0,72.0,2.0,-11367.6322741038,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,False,
286485,24.0,10.0,10.0,160.0,256.0,2.0,32.0,4.0,-2671.42808607643,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,False,
146945,16.0,50.0,50.0,192.0,256.0,1.0,20.0,3.0,-1345.82926593352,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,False,
87703,12.0,2.0,50.0,32.0,1024.0,3.0,20.0,2.0,-6028.32884379404,75801//249791//297877//265141//20406//405172//118040//286485//146945//87703//207136//126911//359319//6293//54599//437057//1229//1421//6029//37685//50357//306306//47519//311303//221//330259//49367//288197//433394//39629//431501//329538//14087//477677//435720//56717//277901//6599//430674//37894//1031//406//479//95//46367//368909//8537//430271//46751//424607//38879//54623//23711//1583//6419//407135//38448//46128//433823//57384//312287//374285//60936//485279//7656//93197//362399//4397//41543//361969//39263,,False,False,
