index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
478488,72.0,1.0,30.0,160.0,256.0,2.0,48.0,1.0,-3522.3745682316,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,False,
462492,72.0,1.0,50.0,32.0,1024.0,2.0,24.0,3.0,-8424.51327532654,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,True,
274598,24.0,5.0,30.0,224.0,256.0,4.0,20.0,3.0,-2366.01987256279,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,False,
316602,32.0,1.0,256.0,32.0,1024.0,2.0,12.0,4.0,-5036.05097414244,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,True,
443547,72.0,10.0,30.0,224.0,256.0,4.0,12.0,1.0,-4005.62972421959,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,False,
329058,32.0,1.0,50.0,64.0,1024.0,5.0,16.0,4.0,-11616.4535996331,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,False,
460429,72.0,2.0,10.0,224.0,256.0,5.0,20.0,3.0,-6452.02192303151,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,False,
160009,16.0,2.0,256.0,64.0,256.0,5.0,24.0,1.0,-2857.50808707729,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,True,
377449,48.0,2.0,256.0,192.0,1024.0,1.0,12.0,1.0,-5740.29603506145,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,False,
174450,16.0,1.0,10.0,160.0,1024.0,4.0,48.0,4.0,-18045.4511599023,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,False,
82848,12.0,1.0,10.0,256.0,1024.0,4.0,16.0,1.0,-13271.7387090771,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,,False,False,
160008,16.0,1.0,256.0,64.0,256.0,5.0,24.0,1.0,-2596.92692560504,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,457.35155869722456,False,True,0.040677146682323854
31942,8.0,20.0,50.0,224.0,256.0,1.0,24.0,4.0,-990.776630792945,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,701.6156721033989,False,False,0.018401858708918643
316085,32.0,50.0,50.0,224.0,256.0,1.0,12.0,1.0,-1637.60266663233,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,737.2427068130121,False,False,0.0889088694364049
24436,8.0,20.0,50.0,256.0,256.0,1.0,20.0,1.0,-1142.17209113262,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,603.5653272298285,False,False,0.06772914862785187
423066,48.0,1.0,256.0,128.0,256.0,1.0,72.0,4.0,-3308.03785269945,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,487.0110595372999,False,False,0.04025017053370261
46918,8.0,20.0,50.0,160.0,256.0,1.0,48.0,4.0,-1303.11727117845,478488//462492//274598//316602//443547//329058//460429//160009//377449//174450//82848//160008//31942//316085//24436//423066//46918//62298//430101//116410//817//270234//60485//220660//1367//223770//393095//277122//430938//490074//666//491400//2754//423045//247002//595//48450//430707//1224//31367//61438//430830//60360//37296//484853//369868//314736//646//47494//39034//367931//485236//482754//307846//425333//31103//59957//53064//453594//477365//246810//111819//34612//54334//477186//47706//491019//41150//307866//446874//485351,369.5564107754727,False,False,0.14602363893588752
