index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
421966,48.0,20.0,30.0,192.0,1024.0,5.0,48.0,4.0,-21732.9521100172,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,False,
379624,48.0,20.0,30.0,64.0,256.0,3.0,12.0,3.0,-3742.08366462602,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,False,
390365,48.0,50.0,30.0,64.0,256.0,5.0,16.0,1.0,-2805.86137206416,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,False,
477836,72.0,5.0,30.0,32.0,1024.0,2.0,48.0,4.0,-11063.6885323307,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,False,
69322,12.0,20.0,10.0,64.0,256.0,1.0,12.0,2.0,-1555.75077285022,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,False,
426318,48.0,1.0,256.0,160.0,256.0,3.0,72.0,2.0,-3981.98203326849,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,True,
19869,8.0,10.0,256.0,256.0,256.0,3.0,16.0,4.0,-1627.75544871681,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,True,
220117,20.0,2.0,256.0,96.0,256.0,4.0,24.0,3.0,-1909.68438146869,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,True,
425501,48.0,50.0,30.0,32.0,256.0,3.0,72.0,1.0,-3713.42420790246,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,False,
157489,16.0,2.0,50.0,160.0,256.0,3.0,24.0,1.0,-2942.30779581163,421966//379624//390365//477836//69322//426318//19869//220117//425501//157489//368959//6221//7493//19863//29470//7727//375263//7194//55194//408474//476255//170399//61877//308447//46250//154463//54239//115272//117791//360053//6533//437069//222983//431424//61684//23052//6407//55103//2206//53837//430824//248735//55170//239495//1218//50374//4482//368712//486815//8921//43031//439277//485237//54228//422670//484031//1049//653//250049//1608//16799//39646//425340//459727//431501//397883//46746//55272//228954//3540//1997,,False,False,
