index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
134563,16.0,2.0,50.0,160.0,1024.0,3.0,12.0,4.0,-4938.21959830829,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,False,
348596,32.0,5.0,10.0,256.0,1024.0,2.0,32.0,4.0,-10289.0453572468,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,False,
205589,20.0,50.0,50.0,224.0,1024.0,4.0,16.0,1.0,-9786.49719713799,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,False,
468175,72.0,2.0,256.0,224.0,256.0,5.0,24.0,2.0,-3503.05930114022,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,True,
152229,16.0,10.0,50.0,32.0,1024.0,5.0,20.0,4.0,-11377.3132693002,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,False,
253346,24.0,5.0,10.0,256.0,1024.0,5.0,8.0,1.0,-17760.8473184287,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,False,
364494,32.0,1.0,256.0,96.0,256.0,3.0,72.0,2.0,-4476.317053648,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,True,
455049,72.0,10.0,10.0,96.0,256.0,2.0,20.0,2.0,-3808.94905904601,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,False,
104278,12.0,20.0,10.0,256.0,256.0,3.0,32.0,4.0,-3303.87351327579,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,False,
473487,72.0,10.0,10.0,96.0,256.0,4.0,32.0,3.0,-7744.4749667126,134563//348596//205589//468175//152229//253346//364494//455049//104278//473487//264496//471261//454366//400606//415966//408094//408088//408284//472606//383518//430470//414235//421918//346846//262366//15546//101086//156381//280990//360844//1420//32151//185754//40120//374686//1915//38302//47313//54986//231646//57989//437949//1391//9076//1390//247174//139650//124102//285574//270047//438173//39621//24245//33286//24071//292852//100661//40774//31775//46709//348340//341812//56116//409589//417077//959//39454//430156//394421//42480//42100,,False,False,
