index,ALIGN_SPLIT,BUFFER_SIZE,CLIPPING,CUDA_THREADS,N_RESTART,OPTIMIZE_REPS,OPTIMIZE_SPLIT,SIM_THRESH,target,memory_queue,acquisition,terminated,feasible,ml_mape
26074,8.0,20.0,50.0,256.0,1024.0,2.0,20.0,2.0,-5989.85469993504,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
293220,24.0,1.0,30.0,256.0,256.0,1.0,48.0,3.0,-1708.84220669026,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
5354,8.0,5.0,256.0,128.0,1024.0,4.0,8.0,1.0,-6878.28752451189,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
482179,72.0,2.0,50.0,256.0,256.0,4.0,48.0,4.0,-4360.53294508082,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
133589,16.0,50.0,50.0,256.0,1024.0,2.0,12.0,1.0,-4807.01095809129,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
417659,48.0,50.0,50.0,256.0,256.0,2.0,48.0,2.0,-3035.11802478174,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
406578,48.0,1.0,10.0,192.0,1024.0,5.0,24.0,4.0,-19064.4924454686,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
403443,48.0,10.0,50.0,192.0,256.0,3.0,24.0,1.0,-4127.56819874861,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
75066,12.0,1.0,256.0,224.0,1024.0,4.0,12.0,4.0,-7267.44730474612,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
278946,24.0,1.0,50.0,160.0,1024.0,2.0,24.0,4.0,-7342.58969512171,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
82289,12.0,50.0,10.0,160.0,1024.0,4.0,16.0,3.0,-13249.5911683271,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,,False,False,
164212,16.0,20.0,50.0,256.0,256.0,2.0,32.0,1.0,-2432.4077995614,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,223.7350821209699,False,False,0.04167482766856458
177826,16.0,20.0,30.0,224.0,256.0,1.0,72.0,2.0,-2572.91452259984,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,217.49000194442073,False,False,0.07640933379268354
230230,20.0,20.0,10.0,256.0,256.0,5.0,32.0,4.0,-6836.14404383263,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,207.19458393305027,False,False,0.11027131738736345
239472,20.0,1.0,50.0,256.0,256.0,1.0,72.0,1.0,-2013.33064460722,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,346.694021457401,False,False,0.06476161613754469
293214,24.0,1.0,30.0,256.0,256.0,1.0,48.0,2.0,-1560.36271657858,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,188.9961194071818,False,False,0.03927962727030153
231600,20.0,1.0,50.0,224.0,256.0,1.0,48.0,1.0,-1931.17490654197,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,226.4729694382671,False,False,0.03451714695755701
293232,24.0,1.0,50.0,256.0,256.0,1.0,48.0,1.0,-2368.68929096387,26074//293220//5354//482179//133589//417659//406578//403443//75066//278946//82289//164212//177826//230230//239472//293214//231600//293232//55128//362328//55157//54773//54576//54389//54194//54340//423028//39028//37301//15744//45144//192//39221//53956//369028//54406//46924//1055//246413//6984//60360//47322//1420//477215//53645//484031//54605//430536//368735//314568//484007//72//476250//286//52300//1992//6413//30029//7373//490463//374856//60936//485375//45960//482352//37900//45196//6408//76//46679//313817,187.16432648024139,False,False,0.1260526675471297
