index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
6,4.0,4.0,4.0,6.0,6.0,-0.263958333,,,False,True,
168,2.0,2.0,4.0,6.0,2.0,-0.523680556,,,False,True,
112,4.0,2.0,2.0,2.0,4.0,-1.663708333,,,False,True,
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,,False,True,
191,2.0,2.0,2.0,6.0,2.0,-0.541027778,,,False,False,
222,4.0,2.0,2.0,2.0,2.0,-1.028465194,,,False,False,
78,4.0,4.0,2.0,6.0,6.0,-0.430708333,,,False,True,
9,4.0,4.0,4.0,4.0,6.0,-0.68646125,,,False,True,
162,4.0,4.0,2.0,6.0,2.0,-0.5013195,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.081700174352577,False,True,0.12700159371188682
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.06176357681838476,False,True,0.29400884739424815
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.035118589939849204,False,True,0.2466663271750155
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.03212395073525134,False,True,0.9381655511101916
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.024894252105331503,False,True,0.01711743126546581
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,0.011402252772984026,False,True,0.4006936259972172
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.010370354635378488,False,True,0.07430406467291419
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.009870332721052883,False,True,0.050916384550753015
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.006081155841132637,False,True,0.44885734979730374
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,0.004254372932278374,False,True,1.6307614394841683
