index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
218,4.0,4.0,2.0,6.0,2.0,-0.581611111,,,False,False,
185,4.0,2.0,4.0,6.0,2.0,-0.531611111,,,False,False,
154,4.0,4.0,4.0,2.0,6.0,-2.677372167,,,False,True,
241,2.0,2.0,4.0,2.0,2.0,-1.150944444,,,False,False,
210,4.0,2.0,2.0,2.0,6.0,-0.572237847,,,False,False,
215,2.0,4.0,4.0,8.0,2.0,-0.575388889,,,False,False,
217,2.0,4.0,4.0,4.0,2.0,-0.575930556,,,False,False,
20,4.0,4.0,2.0,4.0,4.0,-0.320928667,,,False,True,
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,,False,True,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.982118399066235,False,True,0.06761468512604968
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,1.0515027824566783,False,True,0.33903723537958175
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.9897779420665767,False,True,1.7734170175107273
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,1.0347097604864222,False,True,0.030360044860680294
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.9350657024302542,False,True,0.2746459972809686
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.8431061363967902,False,True,0.05409142243234081
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.7302418717620289,False,True,0.6090174353470226
46,2.0,2.0,4.0,8.0,4.0,-0.341116875,,0.7702731208262595,False,True,0.6466764089760333
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.7739187792614544,False,True,0.5384564362645212
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.7322653226328997,False,True,0.5263238316929602
