index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
123,4.0,2.0,2.0,6.0,2.0,-0.461257611,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,,False,True,
74,4.0,4.0,2.0,8.0,4.0,-0.413611111,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,,False,True,
268,4.0,4.0,2.0,4.0,2.0,-0.752026028,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,,False,False,
231,4.0,4.0,2.0,2.0,6.0,-2.021638889,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,,False,False,
273,4.0,4.0,2.0,4.0,2.0,-0.848291667,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,,False,False,
123,4.0,2.0,2.0,6.0,2.0,-0.461257611,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,,False,True,
23,2.0,4.0,4.0,4.0,4.0,-0.457704472,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,,False,True,
70,4.0,2.0,4.0,6.0,6.0,-0.376416667,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,,False,True,
214,2.0,4.0,2.0,4.0,2.0,-0.573271181,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,,False,False,
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,0.14893329312545206,False,True,0.7904246373194209
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,0.12638074188562126,False,True,0.3039530308479518
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,0.1227210951024193,False,True,0.08927516894893252
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,0.10988250753574677,False,True,0.6711058942906268
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,0.08947196024806306,False,True,1.5268699616411043
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,0.0449004144977176,False,True,0.9624780938051212
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,0.031994599386378886,False,True,0.9274158920708899
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,0.02379224525526594,False,True,0.24298821772419105
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,104/123/201//21/71/74//117/268/273//165/171/231//117/268/273//104/123/201//23/28/89//31/70/136//195/214/256//43/133/145//59/62/142//125/213/216//47/143/263//3/4/57//41/68/102//58/69/120//65/66/158//128/265/271//7/11/45,0.021303924302608288,False,True,0.5437378502077602
