index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
53,2.0,2.0,4.0,4.0,4.0,-0.353006875,,,False,True,
85,4.0,4.0,4.0,4.0,6.0,-1.020666667,,,False,True,
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,,False,True,
20,4.0,4.0,2.0,4.0,4.0,-0.320928667,,,False,True,
265,2.0,2.0,2.0,8.0,2.0,-0.723914528,,,False,False,
199,4.0,2.0,2.0,8.0,2.0,-0.558790042,,,False,False,
153,4.0,4.0,2.0,6.0,2.0,-0.487353861,,,False,True,
224,2.0,4.0,2.0,2.0,2.0,-1.002263889,,,False,False,
262,4.0,2.0,2.0,2.0,6.0,-0.753805556,,,False,False,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.012394360772822174,False,True,0.5022578899196968
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.012478415721982772,False,True,0.15884099450842185
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.006957646051683534,False,True,0.6935746647529832
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.008717552317922914,False,True,0.28304698767864833
12,4.0,4.0,4.0,4.0,4.0,-0.457125,,0.011296733257401853,False,True,0.7673613221972608
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.017450710792940728,False,True,0.28347358181505916
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.011063217722596316,False,True,0.46560604017350476
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.011832303349412161,False,True,0.08215994358818263
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,0.012260753390256854,False,True,0.8635508191038591
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,0.011074225194563397,False,True,0.45648210943864154
