index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,,False,True,
173,2.0,2.0,4.0,2.0,2.0,-0.982603028,,,False,True,
241,2.0,2.0,4.0,2.0,2.0,-1.150944444,,,False,False,
185,4.0,2.0,4.0,6.0,2.0,-0.531611111,,,False,False,
127,2.0,2.0,2.0,8.0,6.0,-0.48025,,,False,True,
116,2.0,2.0,2.0,4.0,4.0,-0.513097222,,,False,True,
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,,False,True,
139,4.0,4.0,4.0,2.0,6.0,-2.581552792,,,False,True,
220,4.0,2.0,4.0,2.0,6.0,-0.579277778,,,False,False,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.8947396185087191,False,True,0.22768116970323596
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.8645562652129013,False,True,0.4754080278704439
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.9101091939552958,False,True,0.6311269853970982
9,4.0,4.0,4.0,4.0,6.0,-0.68646125,,0.9100282722556022,False,True,0.3189584993506672
12,4.0,4.0,4.0,4.0,4.0,-0.457125,,0.8481442469245563,False,True,0.1903726229972144
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,0.8182085051587267,False,True,0.02549932375605024
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.7620979765770317,False,True,0.39646207612755574
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.7599543974856156,False,True,0.766745239237197
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,0.757019608544881,False,True,0.607131459388764
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.8216906669170161,False,True,0.016012378708552072
