index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
68,2.0,4.0,4.0,8.0,6.0,-0.358186139,,,False,True,
257,2.0,2.0,2.0,6.0,2.0,-0.662,,,False,False,
101,4.0,2.0,4.0,6.0,2.0,-0.441108292,,,False,True,
140,2.0,2.0,4.0,6.0,6.0,-0.489888889,,,False,True,
97,2.0,4.0,4.0,8.0,4.0,-0.457888889,,,False,True,
105,2.0,4.0,2.0,8.0,4.0,-0.476013889,,,False,True,
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,,False,True,
51,4.0,4.0,2.0,8.0,6.0,-0.361694444,,,False,True,
213,2.0,4.0,4.0,6.0,2.0,-0.56625,,,False,False,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.02073530792326376,False,True,1.2949667390021182
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.0028378374999904962,False,True,0.4715378796160148
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.002548544823662664,False,True,0.36041427108764856
139,4.0,4.0,4.0,2.0,6.0,-2.581552792,,0.0006773835740760915,False,True,0.7131328316058414
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.046227165595339056,False,True,0.27929968535254035
121,4.0,4.0,2.0,8.0,2.0,-0.475219681,,0.03917786685005693,False,True,0.13624221547933932
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,0.018052340600298766,False,True,0.13906481319873615
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.014039451042038381,False,True,0.06335555804256617
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.0116482155053126,False,True,0.04839328168591879
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.013926930005682979,False,True,0.37230776874791993
