index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
272,4.0,4.0,4.0,8.0,2.0,-0.842475736,,,False,False,
228,2.0,2.0,2.0,2.0,4.0,-1.829888889,,,False,False,
2,4.0,2.0,2.0,4.0,4.0,-0.498833333,,,False,True,
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,,False,True,
188,2.0,2.0,4.0,4.0,2.0,-0.537317903,,,False,False,
115,2.0,2.0,2.0,8.0,4.0,-0.469847222,,,False,True,
198,2.0,2.0,2.0,4.0,2.0,-0.54725,,,False,False,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,,False,True,
178,4.0,4.0,4.0,2.0,2.0,-0.674233264,,,False,False,
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,0.45707715447898223,False,True,0.2977802362986162
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.056693168629522096
104,4.0,2.0,2.0,6.0,2.0,-0.445360833,,0.4280409878201681,False,True,0.15582490610435118
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.38550935087544835,False,True,0.19427975003250958
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.4131711907388621,False,True,0.23951268444584
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.03221666432030431
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.02191924481323867
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.016610141598486727
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.3409884457221726,False,True,0.17405718941571027
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.33444074853743744,False,True,1.4515717055080772
