index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
17,4.0,2.0,2.0,6.0,4.0,-0.3125,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,,False,True,
200,4.0,2.0,4.0,4.0,2.0,-0.547041667,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,,False,False,
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,,False,True,
151,4.0,2.0,4.0,6.0,4.0,-0.502097222,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,,False,True,
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,,False,True,
227,2.0,4.0,2.0,2.0,6.0,-2.084416667,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,,False,False,
205,4.0,2.0,2.0,2.0,2.0,-0.561025153,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,,False,False,
231,4.0,4.0,2.0,2.0,6.0,-2.021638889,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,,False,False,
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,,False,True,
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,0.23177861581439663,False,True,0.7008778724899798
183,4.0,2.0,2.0,8.0,2.0,-0.525085903,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,0.12359551969020056,False,False,0.44088075749177
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,0.105374127718322,False,True,0.16777272744861357
191,2.0,2.0,2.0,6.0,2.0,-0.541027778,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,0.08707022637938958,False,False,0.306202203531496
192,4.0,2.0,2.0,8.0,4.0,-0.5575,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,0.046619609710415025,False,False,0.6619828393706195
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,0.05455683720294495,False,True,0.8055882582610898
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,1.0,False,True,0.2131072391965197
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,0.0330887196835475,False,True,0.2356397941685055
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,0.03039244222860818,False,True,0.40338014689499935
153,4.0,4.0,2.0,6.0,2.0,-0.487353861,17/50/149//87/99/200//117/268/273//44/48/151//65/66/158//180/227/243//205/222/259//165/171/231//60/118/140//8/115/159//183/199/250//47/143/263//191/196/257//192/211/258//137/209/215//0/1/2//73/274/275//55/63/122//153/162/218,0.022454586840387203,False,True,0.6405043012402886
