index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
152,2.0,2.0,4.0,4.0,2.0,-0.505361111,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,,False,True,
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,,False,True,
228,2.0,2.0,2.0,2.0,4.0,-1.829888889,,,False,False,
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,,False,True,
197,4.0,4.0,4.0,6.0,2.0,-0.543944444,,,False,False,
81,2.0,4.0,2.0,6.0,4.0,-0.425430208,,,False,True,
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,,False,True,
57,4.0,4.0,4.0,8.0,6.0,-0.411472222,,,False,True,
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.07368585190421066,False,True,2.085607757613497
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.04837016445022016,False,True,0.5910705277043116
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.08878846745410046,False,True,0.7229807207345854
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.08209809712005316,False,True,0.2925302902215268
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.07533631306388772,False,True,0.031006662490801286
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.07422809502625048,False,True,0.021121081144679504
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.06676172168364716,False,True,0.4692430262658143
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.042740914083205246,False,True,1.301628606902276
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.07885785889781796,False,True,0.37615618531191647
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.0737906895397161,False,True,0.6978929721207918
