index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
100,2.0,4.0,2.0,6.0,4.0,-0.453569444,,,False,True,
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,,False,True,
247,2.0,2.0,4.0,2.0,4.0,-1.706057556,,,False,False,
183,4.0,2.0,2.0,8.0,2.0,-0.525085903,,,False,False,
221,2.0,4.0,4.0,4.0,2.0,-0.581986111,,,False,False,
150,4.0,2.0,2.0,2.0,4.0,-1.702361111,,,False,True,
52,2.0,2.0,2.0,6.0,6.0,-0.341679014,,,False,True,
164,4.0,4.0,2.0,2.0,4.0,-1.723588111,,,False,True,
215,2.0,4.0,4.0,8.0,2.0,-0.575388889,,,False,False,
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,1.0364071132826265,False,True,0.26192388636314395
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.6085575008403532,False,True,0.15608650247053704
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,1.1209442434184278,False,True,0.6097155905242754
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.07405611714290694
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.04432537066090059
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.8819088342016073,False,True,0.5031325391375575
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.5998074806346698,False,True,0.32445862831499056
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.8872406627800871,False,True,0.18982260374603377
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.8614320540249232,False,True,0.26684169140272723
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.6115155825767786,False,True,0.6839626123099884
