index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
179,4.0,4.0,2.0,2.0,2.0,-0.773426778,,,False,False,
45,4.0,4.0,4.0,8.0,4.0,-0.337648278,,,False,True,
86,4.0,4.0,2.0,4.0,6.0,-0.514958333,,,False,True,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.011289531528731283,False,True,0.005332350752694155
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.008862692746918716,False,True,0.3867600977609105
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.025766963230036778,False,True,0.0707074639044873
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.02068961762490746,False,True,0.007801340064112283
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.020339750948146596,False,True,0.021056191015791086
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.021716818000301952,False,True,1.1053577614712466
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.01162591358666663,False,True,0.8300543522701884
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.009527174587154293,False,True,0.549530829096592
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.00626714841726273,False,True,0.4056630534770593
189,2.0,2.0,4.0,2.0,6.0,-1.738330417,,0.0011110714115706742,False,False,0.3141137165915777
