index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
229,4.0,4.0,2.0,2.0,4.0,-2.081097222,,,False,False,
68,2.0,4.0,4.0,8.0,6.0,-0.358186139,,,False,True,
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,,False,True,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.1011991640832637,False,True,0.10576897305295015
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,1.0217710456081062,False,True,2.0329108026637153
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,1.1742285780843238,False,True,0.410722627518612
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,1.1611273499314079,False,False,0.5814670471470603
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,1.0300432116826346,False,True,0.3930610465191039
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,,0.918097131675991,False,True,0.03528881719858363
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,0.7985209719890255,False,True,0.5922812340410496
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.7570567654373002,False,True,0.3733558967571275
42,2.0,2.0,4.0,4.0,6.0,-0.343127194,,0.6631852441900283,False,True,0.39140290164491687
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,0.6855251464813354,False,True,0.6471705933396212
