index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,,False,True,
180,2.0,4.0,2.0,2.0,6.0,-1.863021056,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,,False,False,
1,4.0,2.0,2.0,4.0,4.0,-0.351947292,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,,False,True,
151,4.0,2.0,4.0,6.0,4.0,-0.502097222,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,,False,True,
70,4.0,2.0,4.0,6.0,6.0,-0.376416667,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,,False,True,
168,2.0,2.0,4.0,6.0,2.0,-0.523680556,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,,False,True,
84,2.0,4.0,4.0,4.0,6.0,-0.990777778,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,,False,True,
216,2.0,4.0,4.0,6.0,2.0,-0.571856903,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,,False,False,
174,2.0,2.0,2.0,2.0,4.0,-1.632116264,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,,False,False,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.1409804394076572,False,True,0.056129666016506014
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.10443457723659388,False,True,0.9208982772081277
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.06413366952749584,False,True,0.9647044467618514
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.06014123059658266,False,True,0.4503587200304605
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.0602160588630529,False,True,0.9069175515280473
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.04744125376214062,False,True,0.4310216434977168
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.039607247891902564,False,True,0.42731855880380987
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.034243414534595375,False,True,0.8533215431086552
157,4.0,4.0,4.0,8.0,2.0,-0.507875,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.023721765266427684,False,True,0.22384318766076758
109,4.0,2.0,2.0,4.0,2.0,-0.455934792,25/92/97//180/227/243//0/1/2//44/48/151//31/70/136//75/168/186//15/27/84//125/213/216//174/228/235//17/50/149//3/4/57//61/127/141//21/71/74//13/51/77//41/68/102//65/66/158//128/265/271//157/267/272//109/132/187,0.0190109502122333,False,True,0.005591597006657414
