index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
234,4.0,4.0,4.0,2.0,2.0,-0.777097222,,,False,False,
11,4.0,4.0,4.0,8.0,4.0,-0.318486111,,,False,True,
221,2.0,4.0,4.0,4.0,2.0,-0.581986111,,,False,False,
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,,False,True,
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,,False,True,
185,4.0,2.0,4.0,6.0,2.0,-0.531611111,,,False,False,
121,4.0,4.0,2.0,8.0,2.0,-0.475219681,,,False,True,
66,4.0,2.0,4.0,8.0,6.0,-0.366388889,,,False,True,
187,4.0,2.0,2.0,4.0,2.0,-0.527723514,,,False,False,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.009916940189347093,False,True,0.1152021052289286
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.00818811199423888,False,True,0.09645545005220757
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.024795830513389582,False,True,0.6095132610196357
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.0031278563094924786,False,True,0.7124831237083603
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.01016577252531339,False,True,0.20509423780849326
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.00812361266152569,False,True,0.09209743350430796
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,0.00741321803088317,False,True,0.11320988276088444
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.0067002584756448505,False,True,0.28969408156945853
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.006086383349006803,False,True,0.020568561388732278
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,0.005416897617871088,False,True,0.0011139303076988934
