index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
210,4.0,2.0,2.0,2.0,6.0,-0.572237847,,,False,False,
78,4.0,4.0,2.0,6.0,6.0,-0.430708333,,,False,True,
198,2.0,2.0,2.0,4.0,2.0,-0.54725,,,False,False,
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,,False,True,
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,,False,True,
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,,False,True,
158,4.0,2.0,4.0,8.0,6.0,-0.506138889,,,False,True,
182,4.0,4.0,2.0,2.0,2.0,-1.021298139,,,False,False,
207,2.0,2.0,2.0,2.0,6.0,-2.025200306,,,False,False,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.5508187862456243,False,True,0.873733401463093
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.617500010811653,False,True,0.7514390501641401
9,4.0,4.0,4.0,4.0,6.0,-0.68646125,,0.6270219374179036,False,True,0.213268434368092
12,4.0,4.0,4.0,4.0,4.0,-0.457125,,0.5698882037368463,False,True,0.31470024569447824
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.5446355895941251,False,True,0.6021640240689835
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.6380494805896978,False,True,0.013322889623543905
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,0.5408743360403897,False,True,0.027454678434615087
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.49927657126115566,False,True,0.5911586545535423
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.49613016985515734,False,True,0.5519163290746312
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.4940697387923375,False,True,0.3465906906243445
