index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
269,4.0,4.0,2.0,8.0,2.0,-0.818444444,,,False,False,
37,2.0,4.0,2.0,4.0,6.0,-0.4056085,,,False,True,
14,4.0,4.0,4.0,4.0,4.0,-0.506810167,,,False,True,
88,2.0,4.0,2.0,4.0,4.0,-0.563819444,,,False,True,
254,2.0,2.0,2.0,2.0,6.0,-1.897097222,,,False,False,
222,4.0,2.0,2.0,2.0,2.0,-1.028465194,,,False,False,
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,,False,True,
57,4.0,4.0,4.0,8.0,6.0,-0.411472222,,,False,True,
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,,False,True,
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.0896836091159934,False,True,0.016815606987863885
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.09604749283849201,False,True,0.5818998942110228
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,1.0,False,True,1.9924073029118126
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.04666154080981584,False,True,0.6105159471204152
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.03961245540747927,False,True,0.25741444369127087
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.02510743898727171,False,True,0.31559092546182843
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.020077587910883446,False,True,0.3134157492367212
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,1.0,False,True,0.960712640014937
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.01858376242734955,False,True,0.43586607806421607
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.014761142021296886,False,True,0.13382336471055847
