index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,,False,True,
151,4.0,2.0,4.0,6.0,4.0,-0.502097222,,,False,True,
54,4.0,2.0,4.0,4.0,4.0,-0.355211889,,,False,True,
271,2.0,2.0,2.0,8.0,2.0,-0.844166667,,,False,False,
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,,False,True,
204,4.0,4.0,4.0,4.0,2.0,-0.556930556,,,False,False,
129,4.0,4.0,4.0,4.0,2.0,-0.469290486,,,False,True,
20,4.0,4.0,2.0,4.0,4.0,-0.320928667,,,False,True,
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,,False,True,
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,-0.0,False,True,4.3377913266148465
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,-0.0,False,True,4.88188901498102
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.03083231785801588,False,True,0.7545118030190128
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.008882763415700767,False,True,0.00742857453378628
12,4.0,4.0,4.0,4.0,4.0,-0.457125,,0.011972126162446473,False,True,0.5409755978340892
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,-0.0,False,True,3.2774372003633667
9,4.0,4.0,4.0,4.0,6.0,-0.68646125,,0.009443508321009986,False,True,0.8497751795022066
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,0.016058122719852796,False,True,0.5340764487919188
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.09418278868005053,False,True,0.2882372431002764
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.07631840340569368,False,True,0.0014597277705960575
