index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
167,2.0,2.0,4.0,2.0,2.0,-0.826847028,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,,False,True,
99,4.0,2.0,4.0,4.0,2.0,-0.439447347,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,,False,True,
77,4.0,4.0,2.0,8.0,6.0,-0.411388889,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,,False,True,
191,2.0,2.0,2.0,6.0,2.0,-0.541027778,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,,False,False,
131,4.0,4.0,4.0,2.0,4.0,-2.122924722,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,,False,True,
156,2.0,2.0,2.0,2.0,2.0,-0.8476465,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,,False,True,
12,4.0,4.0,4.0,4.0,4.0,-0.457125,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,,False,True,
132,4.0,2.0,2.0,4.0,2.0,-0.474599083,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,,False,True,
127,2.0,2.0,2.0,8.0,6.0,-0.48025,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,,False,True,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.0833344799037621,False,True,0.00036832278600904575
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.08343744989208718,False,True,0.49813519922925364
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.04303665404083813,False,True,0.29250213245052925
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.05812464274042743,False,True,0.3929700918715335
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.07284004179853376,False,True,0.5922566991674257
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.07823713862213325,False,True,0.30732102816660495
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.0749880346781052,False,True,0.2051123921218541
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.07048963253991727,False,True,0.5429102173225169
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.0738725004266246,False,True,0.643701732610892
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//0/1/2//3/4/57//5/6/64//16/26//7/11/45//65/66/158//44/48/151//25/92/97//41/68/102//18/34/76,0.06058390629033189,False,True,0.5541312948489372
