index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
114,2.0,4.0,2.0,6.0,2.0,-0.45505725,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,,False,True,
140,2.0,2.0,4.0,6.0,6.0,-0.489888889,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,,False,True,
100,2.0,4.0,2.0,6.0,4.0,-0.453569444,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,,False,True,
134,4.0,4.0,4.0,4.0,2.0,-0.472590528,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,,False,True,
231,4.0,4.0,2.0,2.0,6.0,-2.021638889,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,,False,False,
82,4.0,4.0,2.0,4.0,6.0,-0.523083333,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,,False,True,
217,2.0,4.0,4.0,4.0,2.0,-0.575930556,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,,False,False,
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,,False,True,
267,4.0,4.0,4.0,8.0,2.0,-0.750095889,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,,False,False,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,114/206/219//60/118/140//35/81/100//129/134/204//165/171/231//32/82/86//155/217/221//65/66/158//157/267/272//0/1/2//3/4/57//13/51/77//5/6/64//29/78/79//31/70/136//18/34/76//55/63/122//52/130/146//195/214/256,0.07342107481965532,False,True,0.9844325391536458
