index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,,False,True,
4,4.0,4.0,4.0,8.0,6.0,-0.177944444,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,,False,True,
268,4.0,4.0,2.0,4.0,2.0,-0.752026028,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,,False,False,
240,4.0,2.0,4.0,2.0,2.0,-1.144777778,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,,False,False,
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,,False,True,
185,4.0,2.0,4.0,6.0,2.0,-0.531611111,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,,False,False,
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,,False,True,
175,2.0,2.0,4.0,2.0,4.0,-1.691752611,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,,False,False,
111,2.0,2.0,4.0,4.0,4.0,-0.550722222,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,,False,True,
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,0.08494879904328857,False,True,0.5225466632185441
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,0.11472126903946712,False,True,0.6691506958987402
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,0.07765401790148367,False,True,1.0916805461716783
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,73/274/275//3/4/57//117/268/273//169/236/240//18/34/76//101/185/261//172/230/244//175/247//53/111/135//41/68/102//31/70/136//7/11/45//16/26//46/147/148//13/51/77//65/66/158//208/266/270//43/133/145//5/6/64,0.04989317609526676,False,True,0.27065949140729717
