index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
66,4.0,2.0,4.0,8.0,6.0,-0.366388889,,,False,True,
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,,False,True,
22,2.0,4.0,2.0,4.0,6.0,-0.377765889,,,False,True,
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,,False,True,
267,4.0,4.0,4.0,8.0,2.0,-0.750095889,,,False,False,
136,4.0,2.0,4.0,6.0,6.0,-0.483944444,,,False,True,
165,4.0,4.0,2.0,2.0,6.0,-1.700916667,,,False,True,
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,,False,True,
214,2.0,4.0,2.0,4.0,2.0,-0.573271181,,,False,False,
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.060547471070143445,False,True,0.48016925382980047
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.081680796128323,False,True,0.2640152041810946
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.09425925332206103,False,True,0.718590725756579
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.05587954428011154,False,True,0.5293721161699093
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,0.03593886554116972,False,True,0.732570943977456
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.06709614941017193,False,True,0.8232884378605815
156,2.0,2.0,2.0,2.0,2.0,-0.8476465,,0.03166568736639061,False,True,0.21929193270498426
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.022736885827961743,False,True,0.18783684416441673
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.022181315144827265,False,True,0.02093699326663701
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,0.016805732748542652,False,True,0.2835885499008894
