index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
164,4.0,4.0,2.0,2.0,4.0,-1.723588111,,,False,True,
217,2.0,4.0,4.0,4.0,2.0,-0.575930556,,,False,False,
219,2.0,4.0,2.0,6.0,2.0,-0.582208333,,,False,False,
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,,False,True,
81,2.0,4.0,2.0,6.0,4.0,-0.425430208,,,False,True,
118,2.0,2.0,4.0,6.0,6.0,-0.469930556,,,False,True,
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,,False,True,
80,4.0,4.0,4.0,4.0,4.0,-0.691569444,,,False,True,
90,2.0,4.0,4.0,6.0,6.0,-0.589277778,,,False,True,
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,0.07656051730185548,False,True,0.889055584857388
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,0.03745705793984378,False,True,0.13881904994389527
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.24097261183262494
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.0524867147664063,False,True,0.9815733332275278
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.0024768113259914567
46,2.0,2.0,4.0,8.0,4.0,-0.341116875,,0.04540252443362558,False,True,0.17427676582735585
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.05386634084637084,False,False,0.5253366193972243
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,0.039008691269198266,False,True,0.36797352459905586
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.03085573802576176,False,True,0.046143805973338774
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.024961750274946484,False,True,0.138246418940002
