index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,,False,True,
53,2.0,2.0,4.0,4.0,4.0,-0.353006875,,,False,True,
222,4.0,2.0,2.0,2.0,2.0,-1.028465194,,,False,False,
209,2.0,4.0,4.0,8.0,2.0,-0.569402778,,,False,False,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,,False,True,
195,2.0,4.0,2.0,4.0,2.0,-0.529499708,,,False,False,
258,4.0,2.0,2.0,8.0,4.0,-0.680513889,,,False,False,
48,4.0,2.0,4.0,6.0,4.0,-0.342658708,,,False,True,
28,2.0,4.0,4.0,4.0,4.0,-0.407666667,,,False,True,
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.04633079300542215,False,True,0.7046520681384978
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.04109997140259558,False,True,0.0038500011279928178
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.7852624256439654
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,0.05261241429061112,False,True,0.5606685012570551
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,0.04246290181549147,False,True,0.5237323357285284
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.003668111764547667,False,True,2.2239591890105843
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,3.241134203637385e-05,False,True,0.3085280091337284
39,4.0,2.0,4.0,4.0,6.0,-0.354505208,,0.000670292990820821,False,True,0.571570060998048
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,-0.0,False,True,4.868173617970421
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,0.06890945938576414,False,True,0.4821711362151419
