index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,,False,True,
68,2.0,4.0,4.0,8.0,6.0,-0.358186139,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,,False,True,
258,4.0,2.0,2.0,8.0,4.0,-0.680513889,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,,False,False,
213,2.0,4.0,4.0,6.0,2.0,-0.56625,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,,False,False,
124,2.0,2.0,4.0,4.0,6.0,-0.550736111,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,,False,True,
37,2.0,4.0,2.0,4.0,6.0,-0.4056085,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,,False,True,
209,2.0,4.0,4.0,8.0,2.0,-0.569402778,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,,False,False,
266,2.0,4.0,2.0,8.0,2.0,-0.745151792,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,,False,False,
72,4.0,2.0,2.0,2.0,4.0,-0.389361375,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,,False,True,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,172/230/244//41/68/102//192/211/258//125/213/216//42/124/126//22/37/96//137/209/215//208/266/270//72/112/150//0/1/2//170/176/249//33/91/98//139/154/245//40/90/103//52/130/146//30/38/94//110/190/255//47/143/263//61/127/141,1.0,False,True,0.012303639680269618
