index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,,False,True,
258,4.0,2.0,2.0,8.0,4.0,-0.680513889,,,False,False,
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,,False,True,
270,2.0,4.0,2.0,8.0,2.0,-0.836875,,,False,False,
181,2.0,4.0,2.0,2.0,2.0,-0.816021472,,,False,False,
261,4.0,2.0,4.0,6.0,2.0,-0.702819444,,,False,False,
266,2.0,4.0,2.0,8.0,2.0,-0.745151792,,,False,False,
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,,False,True,
209,2.0,4.0,4.0,8.0,2.0,-0.569402778,,,False,False,
189,2.0,2.0,4.0,2.0,6.0,-1.738330417,,0.002308014231626527,False,False,0.9703613813208036
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.021914901202455223,False,True,0.8965443499641016
46,2.0,2.0,4.0,8.0,4.0,-0.341116875,,0.025477463317259107,False,True,0.0658259720710138
198,2.0,2.0,2.0,4.0,2.0,-0.54725,,0.02765662079814817,False,False,0.09921232003846671
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.05866891310041728,False,True,0.1829792968878193
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.03224728034777098,False,True,0.515899435813322
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.07277455774473997,False,True,2.4973440510418894
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.040658243590441734,False,True,0.3924705941209873
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.019447705033447032,False,True,0.7361942796038095
75,2.0,2.0,4.0,6.0,2.0,-0.391723917,,0.021571150469791106,False,True,0.37860101503621224
