index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,,,False,True,
261,4.0,2.0,4.0,6.0,2.0,-0.702819444,,,False,False,
207,2.0,2.0,2.0,2.0,6.0,-2.025200306,,,False,False,
1,4.0,2.0,2.0,4.0,4.0,-0.351947292,,,False,True,
49,2.0,2.0,2.0,4.0,4.0,-0.340263431,,,False,True,
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,,,False,True,
139,4.0,4.0,4.0,2.0,6.0,-2.581552792,,,False,True,
229,4.0,4.0,2.0,2.0,4.0,-2.081097222,,,False,False,
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,,False,True,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,1.4167113289958473,False,True,0.2619674263324008
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.2807163175442307
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,1.6335843099004461,False,True,0.5086524933945796
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,1.003973615030283,False,True,0.9005235741358768
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,1.29706024005211,False,True,0.29585718613919865
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,1.3502689355890738,False,True,0.07744910700341749
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.9702169266684895,False,True,0.4934438914544693
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,1.116435185247608,False,True,0.7444214562732926
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.8517642779137615,False,True,1.5389412139923102
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.9561539286836158,False,True,0.6980303030853656
