index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,,False,True,
226,4.0,4.0,4.0,2.0,4.0,-2.279416667,,,False,False,
35,2.0,4.0,2.0,6.0,4.0,-0.329550403,,,False,True,
225,2.0,2.0,2.0,2.0,6.0,-1.550319444,,,False,False,
8,2.0,2.0,2.0,8.0,4.0,-0.240564167,,,False,True,
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,,,False,True,
1,4.0,2.0,2.0,4.0,4.0,-0.351947292,,,False,True,
12,4.0,4.0,4.0,4.0,4.0,-0.457125,,,False,True,
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,,False,True,
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.04179231317018054,False,False,0.622666221695904
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,,0.060976960572430766,False,False,0.49784481653272966
163,4.0,2.0,4.0,2.0,6.0,-1.661284764,,0.05145860273307439,False,True,0.13657129053425476
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,0.08167387900371766,False,True,0.8025447079682799
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,0.09111552355563572,False,True,0.5541559558648192
125,2.0,4.0,4.0,6.0,2.0,-0.4634665,,0.08784952347720325,False,True,0.7849788401036443
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.10105451769325781,False,True,0.5066807013254405
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.09395591144524071,False,True,0.7792165395178793
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.09258729280932321,False,True,0.20539428417045874
195,2.0,4.0,2.0,4.0,2.0,-0.529499708,,0.0830470971770007,False,False,0.16386805546489494
