index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,,False,True,
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,,False,True,
249,4.0,2.0,4.0,2.0,4.0,-1.711277778,,,False,False,
66,4.0,2.0,4.0,8.0,6.0,-0.366388889,,,False,True,
244,2.0,4.0,2.0,2.0,4.0,-2.045125,,,False,False,
168,2.0,2.0,4.0,6.0,2.0,-0.523680556,,,False,True,
173,2.0,2.0,4.0,2.0,2.0,-0.982603028,,,False,True,
236,4.0,2.0,4.0,2.0,2.0,-1.192458333,,,False,False,
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,,False,True,
208,2.0,4.0,2.0,8.0,2.0,-0.562777778,,0.4611499655655098,False,False,0.11918095449776608
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,0.42530510700275737,False,True,0.8638097286263967
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.47502581737028077,False,True,0.8615890182087896
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.26748649826286,False,True,0.6504805040569442
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.19889587203809336,False,True,0.5008845452066921
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.23379461932809156,False,True,0.28295480498158
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.14176202964285134,False,True,0.1440699819297344
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.0939866098832036,False,True,0.00311142112718214
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.07236327027324982,False,True,0.7344737384462808
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.022485199531023042,False,True,0.29639589385663345
