index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
82,4.0,4.0,2.0,4.0,6.0,-0.523083333,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,,False,True,
103,2.0,4.0,4.0,6.0,6.0,-0.725972222,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,,False,True,
205,4.0,2.0,2.0,2.0,2.0,-0.561025153,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,,False,False,
165,4.0,4.0,2.0,2.0,6.0,-1.700916667,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.007093106192468098,False,True,0.18993564191123818
121,4.0,4.0,2.0,8.0,2.0,-0.475219681,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.06446558552510075,False,True,0.47180013109714625
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.06511177821375469,False,True,0.38066669641545714
192,4.0,2.0,2.0,8.0,4.0,-0.5575,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.042022514697019134,False,False,0.22878596027566026
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.050300950655219875,False,True,0.25971067101030576
163,4.0,2.0,4.0,2.0,6.0,-1.661284764,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.048089824573592836,False,True,0.07656643717692609
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.06800576696182574,False,True,0.029044952859635407
52,2.0,2.0,2.0,6.0,6.0,-0.341679014,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.06656225812003908,False,True,0.036827659821280036
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.044069395757826375,False,True,0.464310402299532
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,32/82/86//40/90/103//205/222/259//165/171/231//121/264/269//58/69/120//192/211/258//61/127/141//163/220/246//55/63/122//52/130/146//47/143/263//65/66/158,0.054419549914272745,False,True,0.026999064091847023
