index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
227,2.0,4.0,2.0,2.0,6.0,-2.084416667,,,False,False,
93,2.0,4.0,2.0,8.0,4.0,-0.449402778,,,False,True,
135,2.0,2.0,4.0,4.0,4.0,-0.525222222,,,False,True,
173,2.0,2.0,4.0,2.0,2.0,-0.982603028,,,False,True,
193,4.0,2.0,4.0,8.0,2.0,-0.544234181,,,False,False,
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,,False,True,
259,4.0,2.0,2.0,2.0,2.0,-0.68475,,,False,False,
94,2.0,4.0,2.0,6.0,6.0,-0.453180556,,,False,True,
14,4.0,4.0,4.0,4.0,4.0,-0.506810167,,,False,True,
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.0485398433580136,False,True,0.3965945501671494
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.10500621754721169,False,True,0.3814025147935207
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.09151630561449728,False,False,0.24463964958315434
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.08720332306030641,False,True,0.1501414722896774
121,4.0,4.0,2.0,8.0,2.0,-0.475219681,,0.062189392344698335,False,True,0.47143655196297435
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.11423549479948045,False,True,0.10350462351364485
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.10211307825698127,False,True,0.2790242712764472
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.09435267195168277,False,True,0.2122809596785373
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.05758009504661364,False,True,0.3139086987369095
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.07821316345607422,False,True,0.18222026829681057
