index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,,False,True,
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,,False,True,
76,4.0,4.0,2.0,6.0,4.0,-0.409236111,,,False,True,
268,4.0,4.0,2.0,4.0,2.0,-0.752026028,,,False,False,
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,,False,True,
104,4.0,2.0,2.0,6.0,2.0,-0.445360833,,,False,True,
34,4.0,4.0,2.0,6.0,4.0,-0.328441333,,,False,True,
266,2.0,4.0,2.0,8.0,2.0,-0.745151792,,,False,False,
46,2.0,2.0,4.0,8.0,4.0,-0.341116875,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,-0.0,False,True,2.142830479229053
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.130630114514718,False,True,2.8149519759041386
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.13439646051017862,False,True,0.3958657427760071
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.03302046768872868,False,True,0.2809882564492274
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.08226107692758293,False,True,0.28668716102569003
183,4.0,2.0,2.0,8.0,2.0,-0.525085903,,0.020510974638071253,False,False,0.044038697630381485
32,4.0,4.0,2.0,4.0,6.0,-0.345415417,,0.006462289755104137,False,True,0.21818297631904243
19,2.0,4.0,2.0,8.0,4.0,-0.314709528,,-0.0,False,True,1.0111892845006114
39,4.0,2.0,4.0,4.0,6.0,-0.354505208,,-0.0,False,True,0.8134385710835931
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.01772028955629359,False,True,0.20825337464556565
