index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
82,4.0,4.0,2.0,4.0,6.0,-0.523083333,,,False,True,
263,2.0,2.0,4.0,8.0,6.0,-0.730130069,,,False,False,
265,2.0,2.0,2.0,8.0,2.0,-0.723914528,,,False,False,
130,2.0,2.0,2.0,6.0,6.0,-0.48275,,,False,True,
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,,False,True,
76,4.0,4.0,2.0,6.0,4.0,-0.409236111,,,False,True,
34,4.0,4.0,2.0,6.0,4.0,-0.328441333,,,False,True,
124,2.0,2.0,4.0,4.0,6.0,-0.550736111,,,False,True,
205,4.0,2.0,2.0,2.0,2.0,-0.561025153,,,False,False,
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.003288185354267156,False,True,0.2876135792779369
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.0026347804385909593,False,False,0.1231284813019725
166,2.0,4.0,4.0,2.0,2.0,-0.686595319,,0.0020102047683234663,False,True,0.30486843786363566
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.0016997437449668572,False,True,0.35685408666812035
152,2.0,2.0,4.0,4.0,2.0,-0.505361111,,0.0030036206790303313,False,True,0.035641247814343024
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,0.0026708221813643374,False,True,0.1728690456397191
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,,0.004609233381801626,False,True,0.22978879750091313
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.0388263128412796,False,True,0.056292742981932646
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,0.0625284346677586,False,True,0.2443568713303024
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.0654747572573897,False,True,1.1714889211560846
