index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
210,4.0,2.0,2.0,2.0,6.0,-0.572237847,,,False,False,
112,4.0,2.0,2.0,2.0,4.0,-1.663708333,,,False,True,
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,,False,True,
80,4.0,4.0,4.0,4.0,4.0,-0.691569444,,,False,True,
74,4.0,4.0,2.0,8.0,4.0,-0.413611111,,,False,True,
99,4.0,2.0,4.0,4.0,2.0,-0.439447347,,,False,True,
15,2.0,4.0,4.0,4.0,6.0,-0.782349653,,,False,True,
50,4.0,2.0,2.0,6.0,4.0,-0.353336194,,,False,True,
213,2.0,4.0,4.0,6.0,2.0,-0.56625,,,False,False,
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.3381786857866332,False,True,0.08301408284027416
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.3326448239371632,False,True,0.03618638071377332
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.3862117836431877,False,True,0.18592525294320392
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.3977260483430496,False,True,1.8181464514494734
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.297836157492792,False,True,0.5681756727628332
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.37431139241437783,False,True,0.43403829790999815
183,4.0,2.0,2.0,8.0,2.0,-0.525085903,,0.38905994382652087,False,False,0.2918175904444747
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,0.3275049692510901,False,True,0.16173667164639677
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.19738736965353643,False,True,0.24568372616406453
104,4.0,2.0,2.0,6.0,2.0,-0.445360833,,0.06756333187985035,False,True,0.09744488148607426
