index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
167,2.0,2.0,4.0,2.0,2.0,-0.826847028,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,,False,True,
99,4.0,2.0,4.0,4.0,2.0,-0.439447347,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,,False,True,
77,4.0,4.0,2.0,8.0,6.0,-0.411388889,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,,False,True,
191,2.0,2.0,2.0,6.0,2.0,-0.541027778,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,,False,False,
131,4.0,4.0,4.0,2.0,4.0,-2.122924722,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,,False,True,
156,2.0,2.0,2.0,2.0,2.0,-0.8476465,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,,False,True,
12,4.0,4.0,4.0,4.0,4.0,-0.457125,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,,False,True,
132,4.0,2.0,2.0,4.0,2.0,-0.474599083,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,,False,True,
127,2.0,2.0,2.0,8.0,6.0,-0.48025,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,,False,True,
157,4.0,4.0,4.0,8.0,2.0,-0.507875,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.08291575497155998,False,True,0.4727818429892189
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.08216551579094473,False,True,0.9169674139058255
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.06843574125181347,False,True,0.06443036264269622
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.04274221797282911,False,True,0.7302615864053903
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.0395005654127616,False,True,0.5929197177769675
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.046188795615199764,False,True,0.5253240461189578
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.05114233990309605,False,True,0.43549312945219826
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.03596253370961892,False,True,0.21402153446911382
192,4.0,2.0,2.0,8.0,4.0,-0.5575,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.03493663516529625,False,False,0.15807685551993
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,167/173/241//87/99/200//13/51/77//191/196/257//131/138/226//156/161/223//12/14/80//109/132/187//61/127/141//157/267/272//65/66/158//3/4/57//40/90/103//41/68/102//5/6/64//7/11/45//107/119/197//192/211/258//47/143/263,0.02698396904844518,False,True,0.1719982789831483
