index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
89,2.0,4.0,4.0,4.0,4.0,-0.765861111,,,False,True,
99,4.0,2.0,4.0,4.0,2.0,-0.439447347,,,False,True,
253,2.0,2.0,4.0,2.0,6.0,-1.661791667,,,False,False,
66,4.0,2.0,4.0,8.0,6.0,-0.366388889,,,False,True,
176,4.0,2.0,4.0,2.0,4.0,-1.436454722,,,False,False,
130,2.0,2.0,2.0,6.0,6.0,-0.48275,,,False,True,
215,2.0,4.0,4.0,8.0,2.0,-0.575388889,,,False,False,
24,4.0,4.0,2.0,4.0,4.0,-0.379202111,,,False,True,
50,4.0,2.0,2.0,6.0,4.0,-0.353336194,,,False,True,
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.15126396745510406,False,True,0.1349517309234872
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.10109438382133903,False,True,0.10114522905617358
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.09993607754416796,False,True,0.0673547960704672
165,4.0,4.0,2.0,2.0,6.0,-1.700916667,,0.04919618806180757,False,True,0.11234317762820376
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.16423018369911838,False,True,0.027487552255851682
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.06366988236710486,False,True,0.5527105552677152
46,2.0,2.0,4.0,8.0,4.0,-0.341116875,,0.12398244774844766,False,True,0.2711858513794985
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.31727099659723373
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,0.14528489906157205,False,True,0.27748612541470036
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.11366737246855467,False,True,0.09867321130217699
