index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,,False,True,
132,4.0,2.0,2.0,4.0,2.0,-0.474599083,,,False,True,
254,2.0,2.0,2.0,2.0,6.0,-1.897097222,,,False,False,
240,4.0,2.0,4.0,2.0,2.0,-1.144777778,,,False,False,
62,4.0,2.0,4.0,8.0,4.0,-0.374241069,,,False,True,
213,2.0,4.0,4.0,6.0,2.0,-0.56625,,,False,False,
251,4.0,2.0,2.0,4.0,6.0,-0.624513889,,,False,False,
105,2.0,4.0,2.0,8.0,4.0,-0.476013889,,,False,True,
72,4.0,2.0,2.0,2.0,4.0,-0.389361375,,,False,True,
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.5422945564510759,False,True,0.6049974477200403
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,,0.5437613149634761,False,False,0.9895576083198065
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,,0.5013906635557683,False,True,0.8986519772398603
181,2.0,4.0,2.0,2.0,2.0,-0.816021472,,0.4420429993624004,False,False,0.8179616566644664
180,2.0,4.0,2.0,2.0,6.0,-1.863021056,,0.3918232002706751,False,False,0.745749919681427
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.8293322491226737,False,True,0.8324822428844918
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.7887065709733019,False,True,0.1649608233035989
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.48639530400054454,False,True,0.3483973539586969
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.6364331141677003,False,True,0.720960542820641
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.8663169796665686,False,True,0.2243267582386472
