index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
264,4.0,4.0,2.0,8.0,2.0,-0.718686361,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,,False,False,
66,4.0,2.0,4.0,8.0,6.0,-0.366388889,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,,False,True,
135,2.0,2.0,4.0,4.0,4.0,-0.525222222,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,,False,True,
234,4.0,4.0,4.0,2.0,2.0,-0.777097222,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,,False,False,
26,4.0,4.0,4.0,6.0,4.0,-0.335936681,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,,False,True,
161,2.0,2.0,2.0,2.0,2.0,-0.920423736,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,,False,True,
192,4.0,2.0,2.0,8.0,4.0,-0.5575,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,,False,False,
217,2.0,4.0,4.0,4.0,2.0,-0.575930556,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,,False,False,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,,False,True,
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,121/264/269//65/66/158//53/111/135//160/178/234//16/26//156/161/223//192/211/258//155/217/221//3/4/57//41/68/102//5/6/64//13/51/77//7/11/45//25/92/97//144/238/239//75/168/186//44/48/151//55/63/122//43/133/145,0.02257835141817319,False,True,0.07720306813298118
