index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
30,2.0,4.0,2.0,6.0,6.0,-0.328707986,,,False,True,
195,2.0,4.0,2.0,4.0,2.0,-0.529499708,,,False,False,
39,4.0,2.0,4.0,4.0,6.0,-0.354505208,,,False,True,
53,2.0,2.0,4.0,4.0,4.0,-0.353006875,,,False,True,
210,4.0,2.0,2.0,2.0,6.0,-0.572237847,,,False,False,
169,4.0,2.0,4.0,2.0,2.0,-0.879925569,,,False,True,
78,4.0,4.0,2.0,6.0,6.0,-0.430708333,,,False,True,
27,2.0,4.0,4.0,4.0,6.0,-0.852930556,,,False,True,
122,4.0,2.0,2.0,6.0,6.0,-0.474069444,,,False,True,
208,2.0,4.0,2.0,8.0,2.0,-0.562777778,,0.015307720543011286,False,False,0.5417614844533173
60,2.0,2.0,4.0,6.0,6.0,-0.347250847,,0.012798898187772956,False,True,0.5174629374434621
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.016064146128000667,False,True,0.020926641988913156
43,2.0,2.0,4.0,6.0,4.0,-0.338625681,,0.023816848536301633,False,True,0.17678138536590443
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,,0.026440348473967132,False,True,0.10925385201739302
52,2.0,2.0,2.0,6.0,6.0,-0.341679014,,0.028920385794266402,False,True,0.4380574281385651
73,2.0,2.0,2.0,6.0,4.0,-0.397555556,,0.03159341019723645,False,True,0.044708250901898935
47,2.0,2.0,4.0,8.0,6.0,-0.339389972,,0.031251486046245454,False,True,0.04826841548617247
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.037067008006919894,False,True,0.00025231545721702945
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.030601606404267186,False,True,0.15404338751802632
