index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
178,4.0,4.0,4.0,2.0,2.0,-0.674233264,,,False,False,
271,2.0,2.0,2.0,8.0,2.0,-0.844166667,,,False,False,
108,2.0,2.0,2.0,4.0,4.0,-0.457611111,,,False,True,
95,2.0,4.0,2.0,4.0,4.0,-0.576430556,,,False,True,
202,2.0,2.0,2.0,4.0,2.0,-0.544842333,,,False,False,
205,4.0,2.0,2.0,2.0,2.0,-0.561025153,,,False,False,
136,4.0,2.0,4.0,6.0,6.0,-0.483944444,,,False,True,
189,2.0,2.0,4.0,2.0,6.0,-1.738330417,,,False,False,
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,,False,True,
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.4103759312990196,False,True,0.2871741190146006
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.4485879643635591,False,True,0.3766334697470849
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.34850787643444786,False,True,0.8536920244047702
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.29480781077134977,False,True,0.519555872178598
107,4.0,4.0,4.0,6.0,2.0,-0.446536125,,0.25945601112089484,False,True,0.6027720709937026
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,0.19848585533505822,False,True,0.7518344429388645
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.1618116760833152,False,True,0.22235730692704536
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.10917003152373804,False,True,0.023975278929494494
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,0.06906652407178833,False,True,0.3296719007760709
29,4.0,4.0,2.0,6.0,6.0,-0.329223611,,0.032308959014371155,False,True,0.0022286977749068535
