index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
32,4.0,4.0,2.0,4.0,6.0,-0.345415417,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,,False,True,
185,4.0,2.0,4.0,6.0,2.0,-0.531611111,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,,False,False,
63,4.0,2.0,2.0,6.0,6.0,-0.363416389,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,,False,True,
257,2.0,2.0,2.0,6.0,2.0,-0.662,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,,False,False,
10,4.0,4.0,4.0,4.0,6.0,-0.642764458,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,,False,True,
64,4.0,4.0,4.0,6.0,6.0,-0.635833333,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,,False,True,
213,2.0,4.0,4.0,6.0,2.0,-0.56625,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,,False,False,
4,4.0,4.0,4.0,8.0,6.0,-0.177944444,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,,False,True,
27,2.0,4.0,4.0,4.0,6.0,-0.852930556,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,,False,True,
183,4.0,2.0,2.0,8.0,2.0,-0.525085903,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.00250694313713936,False,False,0.871977129358445
137,2.0,4.0,4.0,8.0,2.0,-0.471614069,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.0014069531863633235,False,True,0.7813930840751147
160,4.0,4.0,4.0,2.0,2.0,-0.833162361,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.0013831227812252777,False,True,0.8241561241286368
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.0016573931780692382,False,False,0.7571982694579658
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.0011859967950685626,False,True,0.8359410510012283
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.007115473977306877,False,True,0.46838002444022786
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.0055937334405314005,False,True,0.9774356174488994
33,2.0,4.0,2.0,8.0,6.0,-0.326393083,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.003673808155285778,False,True,0.03677092193080951
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.0031783480910753687,False,True,0.18006870611630432
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,32/82/86//101/185/261//55/63/122//191/196/257//9/10/85//5/6/64//125/213/216//3/4/57//15/27/84//183/199/250//137/209/215//160/178/234//203//13/51/77//65/66/158//7/11/45//33/91/98//41/68/102//21/71/74,0.0032446953168881023,False,True,0.6151777149257696
