index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
147,2.0,2.0,4.0,8.0,4.0,-0.496416667,,,False,True,
25,2.0,4.0,4.0,8.0,4.0,-0.322285514,,,False,True,
173,2.0,2.0,4.0,2.0,2.0,-0.982603028,,,False,True,
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,,False,True,
273,4.0,4.0,2.0,4.0,2.0,-0.848291667,,,False,False,
274,2.0,2.0,2.0,6.0,4.0,-0.750597222,,,False,False,
246,4.0,2.0,4.0,2.0,6.0,-1.744666667,,,False,False,
135,2.0,2.0,4.0,4.0,4.0,-0.525222222,,,False,True,
104,4.0,2.0,2.0,6.0,2.0,-0.445360833,,,False,True,
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.03879815967549009,False,True,1.2056149133023524
7,4.0,4.0,4.0,8.0,4.0,-0.233569444,,0.02880202452945363,False,True,0.8249183897726069
40,2.0,4.0,4.0,6.0,6.0,-0.354989264,,0.033716602162146336,False,True,0.3541798665634565
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.03430102986591799,False,True,0.4128601043597527
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.03145909422236673,False,True,0.10613684537493039
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,0.03182350295171232,False,True,0.37401614733338834
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,0.08032176780837899,False,True,0.8027123395878615
21,4.0,4.0,2.0,8.0,4.0,-0.313295944,,0.04997491970110668,False,True,0.6059801538363007
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.06346011860681294,False,True,0.20314320305011385
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.03646842671674736,False,True,0.4209346455470297
