index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
200,4.0,2.0,4.0,4.0,2.0,-0.547041667,,,False,False,
157,4.0,4.0,4.0,8.0,2.0,-0.507875,,,False,True,
172,2.0,4.0,2.0,2.0,4.0,-1.909765486,,,False,True,
121,4.0,4.0,2.0,8.0,2.0,-0.475219681,,,False,True,
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,,False,True,
133,2.0,2.0,4.0,6.0,4.0,-0.483902778,,,False,True,
132,4.0,2.0,2.0,4.0,2.0,-0.474599083,,,False,True,
77,4.0,4.0,2.0,8.0,6.0,-0.411388889,,,False,True,
128,2.0,2.0,2.0,8.0,2.0,-0.468699931,,,False,True,
58,4.0,2.0,2.0,8.0,6.0,-0.368771528,,0.5666723256573308,False,True,0.15266018736725812
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,0.5075697532808905,False,True,0.34235834571711865
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.6533587993153808,False,False,0.4126536818845742
61,2.0,2.0,2.0,8.0,6.0,-0.3464265,,0.4329063516419847,False,True,0.7192218813751106
203,2.0,2.0,4.0,8.0,2.0,-0.560458333,,0.44529763626513374,False,False,0.4385497978532858
208,2.0,4.0,2.0,8.0,2.0,-0.562777778,,0.4089668208520416,False,False,0.2679078482901357
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.37615581619692307,False,True,0.7323336880164855
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.5264163294022063,False,True,0.3707640971479974
110,2.0,2.0,2.0,4.0,6.0,-0.468694444,,0.36544451102713993,False,True,0.9265513672137582
191,2.0,2.0,2.0,6.0,2.0,-0.541027778,,0.34489926748914723,False,False,0.13906658751539594
