index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
230,2.0,4.0,2.0,2.0,4.0,-2.073611111,,,False,False,
92,2.0,4.0,4.0,8.0,4.0,-0.452111111,,,False,True,
88,2.0,4.0,2.0,4.0,4.0,-0.563819444,,,False,True,
274,2.0,2.0,2.0,6.0,4.0,-0.750597222,,,False,False,
81,2.0,4.0,2.0,6.0,4.0,-0.425430208,,,False,True,
27,2.0,4.0,4.0,4.0,6.0,-0.852930556,,,False,True,
117,4.0,4.0,2.0,4.0,2.0,-0.462181681,,,False,True,
100,2.0,4.0,2.0,6.0,4.0,-0.453569444,,,False,True,
174,2.0,2.0,2.0,2.0,4.0,-1.632116264,,,False,False,
5,4.0,4.0,4.0,6.0,6.0,-0.289680556,,1.0,False,True,1.9965533341374282
16,4.0,4.0,4.0,6.0,4.0,-0.309360444,,0.10634330377319595,False,True,0.2717703091665583
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.09423738213780536,False,True,1.6877464415494785
41,2.0,4.0,4.0,8.0,6.0,-0.336847361,,0.07502849497931606,False,True,0.12784549736344789
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.05078334270887513
18,4.0,4.0,2.0,6.0,4.0,-0.312747681,,0.07266050393198774,False,True,0.01627787419313459
31,4.0,2.0,4.0,6.0,6.0,-0.327348181,,0.06133608568127463,False,True,0.18204824585288698
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,1.0,False,True,0.0007505732284171775
13,4.0,4.0,2.0,8.0,6.0,-0.298934014,,0.05639466854034261,False,True,0.009430633394817521
55,4.0,2.0,2.0,6.0,6.0,-0.347265153,,0.047619839968803784,False,True,0.24822440067770096
