index,parallelism_deepspeech,parallelism_ffmpeg-0,parallelism_ffmpeg-1,parallelism_ffmpeg-2,parallelism_librosa,target,memory_queue,acquisition,terminated,feasible,ml_mape
274,2.0,2.0,2.0,6.0,4.0,-0.750597222,,,False,False,
175,2.0,2.0,4.0,2.0,4.0,-1.691752611,,,False,False,
122,4.0,2.0,2.0,6.0,6.0,-0.474069444,,,False,True,
263,2.0,2.0,4.0,8.0,6.0,-0.730130069,,,False,False,
70,4.0,2.0,4.0,6.0,6.0,-0.376416667,,,False,True,
194,4.0,2.0,2.0,4.0,6.0,-0.529667778,,,False,False,
238,2.0,4.0,4.0,2.0,6.0,-2.605416667,,,False,False,
123,4.0,2.0,2.0,6.0,2.0,-0.461257611,,,False,True,
207,2.0,2.0,2.0,2.0,6.0,-2.025200306,,,False,False,
17,4.0,2.0,2.0,6.0,4.0,-0.3125,,1.0,False,True,0.8498986187724195
59,4.0,2.0,4.0,8.0,4.0,-0.346334431,,0.4581060666792569,False,True,0.38501674710909756
44,4.0,2.0,4.0,6.0,4.0,-0.349742236,,0.1956621988978198,False,True,0.361712466736337
205,4.0,2.0,2.0,2.0,2.0,-0.561025153,,0.2216326604151734,False,False,0.11214421343958073
192,4.0,2.0,2.0,8.0,4.0,-0.5575,,0.06966340569067203,False,False,0.2313625390955837
65,4.0,2.0,4.0,8.0,6.0,-0.352691847,,0.04167168733010041,False,True,0.07494027342258483
0,4.0,2.0,2.0,4.0,4.0,-0.478763889,,0.014486674011560622,False,True,0.21155077587590096
106,4.0,2.0,4.0,8.0,2.0,-0.456300083,,0.038386102737851424,False,True,0.051432134195198334
87,4.0,2.0,4.0,4.0,2.0,-0.421543819,,0.016829372794602008,False,True,0.126990131073467
3,4.0,4.0,4.0,8.0,6.0,-0.174361111,,0.0,False,True,8.872633960092545
